#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe5f4c41ca2a48060b0868c63f4da1f9	776	382	659	880	3224	682	1194	980	4608	1053	1610	194	723	158	309	437
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$a19af3f1666d108af03e5f7399a59c39	0	0	0	0	0	0	720	46	4194	40	11016	39	1353	0	0	0
ec69e4a2fa57ecb7e50cf2e897b37a8e$Unassigned	0	0	5	0	4934	14	4113	33	3194	9	1514	3	3492	0	0	0
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$ea893c36ce0d2ea74f5d7f174f4b85ea	0	0	0	0	22	0	749	35	3967	42	10519	0	1183	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8b805e8ab0bd4a07c5f700905e151f28	0	0	4	0	7	0	196	0	14749	0	934	0	8	0	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$83b71a0936aaf776a3979b868595a01d	0	0	8	0	0	0	0	29	0	2	7	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$064551f616721d5fca7976a44460fc14	66	57	1141	40	186	30	617	36	262	10	39	20	51	25	20	93
D_3__Alteromonadales_D_4__Alteromonadaceae$73af9ec78d02cdddfa21e84f39f894f8	0	3	223	174	784	412	686	299	592	51	142	370	48	51	9628	73
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e142e2be14bff9b37f01d183acf8ff62	516	407	1092	716	469	699	274	763	843	738	1665	1057	2648	536	1239	511
D_3__Oceanospirillales_D_4__Saccharospirillaceae$5fddd1f6585d9c9f1de4b49ed04d6bd8	0	0	19	39	0	47	0	86	0	4	0	14	0	7	0	2
D_3__Cellvibrionales_D_4__Spongiibacteraceae$c85e8846f15debfb13303e3600cd40d4	0	0	0	0	6503	10	7489	78	189	11	13	0	126	0	0	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$5dc2bb3754e1c66b863e3c3586686153	1923	1173	708	441	6220	155	210	587	29	1233	0	271	153	273	47	401
$0a9911c91f618669941dd13da50f36e4	12	15	39	22	0	2	40	83	26	55	0	18	0	118	0	275
D_3__Opitutales_D_4__Puniceicoccaceae$5380ec19d3b58762d6387c401fd8de1b	386	151	5592	59	1935	113	2431	1148	1218	328	63	111	19	32	100	101
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bbb08c40fc9724ebcb5f877dc9c9c61d	872	595	636	950	65	451	141	443	58	222	16	745	0	1098	721	1099
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$06776824064cb2822160cc0888df51fd	163	108	2279	211	3133	331	926	261	855	250	2072	248	359	433	1570	108
D_3__Betaproteobacteriales_D_4__Methylophilaceae$a3fe1a9d2afa1cf084a014bfbb7f6bf8	652	380	1500	547	1697	513	656	826	549	431	526	502	971	815	206	633
D_3__Flavobacteriales_D_4__Cryomorphaceae$e43807d268d7bb99de566c4685140b0b	876	498	120	326	414	3402	254	907	232	540	0	1841	401	589	127	1186
D_3__SAR11_clade_D_4__Clade_I$0c9a8dc81a591a5942872618d800b2b0	1618	945	351	1259	523	1089	183	1345	0	643	0	631	0	837	150	1646
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fd50ede414fb9b412eb81ec48c94f574	858	695	103	1110	960	690	221	1644	70	1324	23	2377	0	1515	134	791
D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3	0	0	138	105	30	49	73	238	22	33	20	76	54	31	0	15
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7fd6e44270b4a36d3e28b37bc563dd7a	194	488	144	219	0	311	421	187	377	66	498	188	5958	190	34	305
D_3__Thiomicrospirales_D_4__Thioglobaceae$d0ebcef50cedc50097956484ba3b9fb6	263	361	405	976	328	394	52	643	0	225	0	1190	0	2634	141	1991
D_3__Puniceispirillales_D_4__SAR116_clade$f29545de7bf83891da9d1c89b2e0675d	227	173	3581	193	1075	518	237	276	717	481	1532	750	223	533	1795	160
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e54914e1b614e928466a259407d36532	40	156	117	64	0	715	246	347	120	13	121	56	6543	12	24	10
ddc47ace3935a3196f1c83e29b916812$Unassigned	307	424	83	49	97	83	122	65	113	19	167	118	9039	164	10	193
b054c334dedcfeff525005a03333e0c5$Unassigned	4	0	10013	91	61	35	20	732	9	42	0	54	3	77	8	4
D_3__Sphingomonadales_D_4__Sphingomonadaceae$9c3e648927a2024eec07e27b3a3e2393	0	0	252	65	16	43	0	8	4	10	0	42	0	5	14	12
D_3__Flavobacteriales_D_4__Cryomorphaceae$486ad728b6e1331ad96dbed64701be9b	916	479	113	279	376	1996	286	550	185	410	54	1732	309	961	74	781
D_3__Flavobacteriales_D_4__Crocinitomicaceae$350e1f9238dd5bce5236dba4bb54df38	343	571	131	66	948	133	497	210	1260	116	1412	72	3534	61	236	625
D_3__Synechococcales_D_4__Cyanobiaceae$b2c4f9c1885b68975043b0cddc5b94f5	5013	2442	60	580	97	197	0	285	0	685	0	215	0	188	113	416
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f836e78a00d45f7e7f238458f39f3185	28	103	49	102	114	15	284	8	611	13	579	0	8091	0	24	85
D_3__Rhodobacterales_D_4__Rhodobacteraceae$b46f8d5891ab1ed123fa3f597ae9f36c	4	0	4666	0	176	0	1071	14	812	13	145	0	165	0	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$60c7e634299f7600b52e6fc1dee00fec	4083	1742	88	68	0	833	0	386	0	33	8	1463	18	907	0	270
D_3__Actinomarinales_D_4__Actinomarinaceae$647bae126bf01b7aec76872b6f2ab44b	2404	1585	79	2313	121	510	30	325	0	190	0	174	4	85	27	1601
D_3__Rhizobiales_D_4__Rhizobiaceae$580f47a9e948218fd800fc2937720eea	0	0	0	0	28	0	189	8	759	34	7131	17	1333	11	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4d5eb8e3ba56f0cb9945455d08ae0a60	63	76	464	263	44	221	1462	248	1265	34	358	188	315	115	17	46
D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501	2421	2862	73	381	0	1466	9	190	4	23	0	194	265	119	91	154
D_3__Synechococcales_D_4__Cyanobiaceae$8faa91e7766e3e88b6eba33f49a6a3de	4171	2340	233	390	170	145	16	276	0	352	0	216	0	145	284	342
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e69263d54352749060fae5725791bfc6	853	542	794	848	166	993	0	296	0	729	113	1079	250	595	1153	577
$c59e12d055d861494ffd6d6fad1ba491	1918	1251	103	1507	13	445	0	527	7	772	0	350	0	337	83	1547
D_3__Flavobacteriales_D_4__Flavobacteriaceae$947b4bfd7550cd6347ed7ca543924c2f	29	61	62	43	109	62	3146	59	3522	23	914	40	415	64	90	91
D_3__Flavobacteriales_D_4__Flavobacteriaceae$88b670b797a0d804d7cdc822066119b4	0	0	492	253	938	0	107	0	981	51	4139	371	1352	191	443	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$4d660ac7dcf39f26db683d2310fca01d	0	0	114	103	226	6228	541	1230	273	129	72	218	21	70	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$02ebc9e2294109abe2666165e6007aa4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	117
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bb7f55b1c5aa1a254fff3b5168f98e7e	0	18	521	164	2262	75	673	125	757	175	2856	638	115	162	614	26
D_3__Oceanospirillales_D_4__Litoricolaceae$3a85b5736cfb89c413cb6dcfc16c5acc	168	118	213	198	715	363	889	97	1572	133	2644	57	1273	277	34	323
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4adf38bdf97f67f6c0205656de99b72	63	51	344	109	845	206	321	360	468	562	569	1534	396	773	2128	56
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7e04a3c2a5251dea326d371a02b674e3	52	65	116	103	15	50	500	234	702	200	384	105	48	419	0	308
D_3__Flavobacteriales_D_4__Crocinitomicaceae$bd1c3e4e13d0df6e59887d51157aa5b8	70	135	0	374	2929	424	371	809	430	336	273	433	916	566	0	273
D_3__Pseudomonadales_D_4__Moraxellaceae$4897fa9c5685d6c8f0ac86f531cf84d3	0	0	253	264	321	5416	238	1096	147	123	31	128	27	41	11	0
c7c72f5c8fdfc2e2f0e20a286c0e3448$Unassigned	353	274	19	105	0	157	0	94	11	10	61	33	6390	42	8	224
