#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__SAR11_clade_D_4__Clade_I$f86b01f1ea0697ae28c82eacb6f41957	0	0	0	0	0	0	0	38	0	16	0	66	0	0	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$e7a58ca9c866ae4e682bd527952e382c	0	0	0	0	0	0	0	58	0	21	0	125	0	30	0	0
D_3__Rickettsiales_D_4__SM2D12$eb2d4a24cde0675cddf8ca942d210051	0	0	0	129	0	7	0	0	0	0	0	0	0	0	0	28
D_3__Puniceispirillales_D_4__EF100-94H03$15abe67b3e700f97befde14b59df5406	17	32	17	20	17	4	3	15	0	7	0	0	0	5	0	55
D_3__SAR11_clade_D_4__Clade_I$38c9ee3461dcb04ad5c0b72bb8a7da1b	42	0	0	21	0	31	0	56	0	0	0	0	0	54	0	27
D_3__Methylococcales_D_4__Cycloclasticaceae$4299b1acda53689768bc1af065ffc99c	0	0	185	0	7	0	4	0	0	0	0	0	0	0	0	0
a3cb647b77ad0ddd449f024a909d7471$Unassigned	0	0	12	0	39	0	15	0	43	0	12	7	102	0	0	0
bdd1c66abdea831b497e4c349e009194$Unassigned	0	0	0	37	0	0	0	0	0	24	0	73	0	96	0	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$ceb81b3ad2e4770f1defa39ccce5db10	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0
D_3__Alteromonadales_D_4__Idiomarinaceae$ef9122a1e9070cb4ccfa8cd1101ae2ea	0	0	0	0	0	215	15	0	0	0	0	0	0	0	0	0
D_3__Cellvibrionales_D_4__Porticoccaceae$1038add41ab29338542682636d060488	13	0	0	0	0	34	0	0	0	6	0	28	0	0	114	34
D_3__Opitutales_D_4__Puniceicoccaceae$5141a085a19eab6dfd48ac58cb7456c2	0	0	0	79	0	78	0	0	0	0	0	0	0	72	0	0
D_3__Cellvibrionales_D_4__Halieaceae$96d06800f7155394e0fbfa0999166fb0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
D_3__Oceanospirillales_D_4__Saccharospirillaceae$41c52b0471e44801fbb14e990395600f	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
D_3__SAR86_clade$6d8d05ed97f13abef6be3667f83e6756	0	0	0	0	0	15	0	61	0	0	0	80	0	72	0	0
ff796fe6964d6e567cb6f293887113c5$Unassigned	0	0	0	0	3	225	0	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$165d6f53e1b1b8343234a6ff9c5afb1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$d80a2690603e11fce9988d1dd83c8257	160	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Candidatus_Campbellbacteria_D_4__uncultured_bacterium$4d9929237da76e012ccd49793b57779c	0	0	27	0	11	0	0	8	3	6	0	5	0	16	0	28
be5fdd826b0205bb36933902f1f29f72$Unassigned	28	3	13	38	0	45	0	0	0	0	0	26	0	48	0	19
D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e8b8228c0afccf36d110bd81c5b2267	0	0	0	0	0	0	21	12	0	0	0	18	63	107	0	0
f4a1d4ff129eb4ff25632709591360a0$Unassigned	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Oceanospirillales_D_4__Nitrincolaceae$2d7094fa5b27868e7d22c6bd7156d0f7	12	3	0	0	0	0	0	0	0	0	0	27	0	4	0	5
D_3__Microtrichales_D_4__Microtrichaceae$498abd0d370e49ba4356dea591089a6f	17	29	6	0	0	0	0	0	0	0	0	0	0	0	0	46
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$91a4ddf8692ec7d070c4d119672c9829	0	0	0	0	0	8	0	0	0	0	0	0	0	0	28	0
D_3__uncultured_bacterium_D_4__uncultured_bacterium$ef5d1d820efbf5d7b601fffeb41246d7	0	0	54	0	0	163	3	0	0	0	0	0	0	0	0	0
D_3__Rickettsiales_D_4__SM2D12$3e33fea8687bd3f9d3b37fa8a9dfa0d9	0	0	0	0	0	0	6	6	0	0	18	0	0	21	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$543b43d6d162099893f961b3676d9036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
D_3__SAR324_clade(Marine_group_B)$8326e30fbefec254f3bf222899183665	0	0	0	0	0	0	0	112	0	0	0	107	0	0	0	0
D_3__Puniceispirillales_D_4__SAR116_clade$313424d66113353a8b507459988e12cb	0	0	0	0	0	0	0	0	0	0	48	0	169	0	0	0
D_3__Candidatus_Pacebacteria_D_4__uncultured_bacterium$b49b785201c8f127a64bac4d95df8d9c	0	0	0	0	0	0	9	0	23	18	10	10	92	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$b9ac953463e8c37c8abcc46d69b3023e	146	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8369f39d3cfbfba95c78bf0180b43060$Unassigned	0	0	0	0	0	12	0	9	0	35	0	119	0	40	0	0
c3eb01050f3ac85f3838dc2df2e5f070$Unassigned	0	0	0	53	0	18	0	0	0	0	0	0	0	0	0	30
D_3__Thiomicrospirales_D_4__Thioglobaceae$e3d0a6fc2400799c79750c333f9b3ccd	0	0	0	0	174	0	0	0	41	0	0	0	0	0	0	0
D_3__Nitrospinales_D_4__Nitrospinaceae$4d2cccb53ccbbf523cb2bb47ef6459fa	0	0	0	0	0	0	0	135	0	33	0	29	0	17	0	0
$4f27774e266bf310605968be29c53e4a	0	0	0	0	0	0	0	0	0	0	0	135	0	79	0	0
D_3__Synechococcales_D_4__Cyanobiaceae$dab08874083941f1173b2f5293c51f25	131	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0
$8b71d7c8b861bbfe150091bc1f199017	46	26	92	0	10	0	12	0	0	0	0	0	0	0	0	27
D_3__Rickettsiales_D_4__Rickettsiaceae$f269c3548a7ada1026d9f821bcf2f454	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
D_3__Vibrionales_D_4__Vibrionaceae$030707dc9c77349c13d2167169c442d1	0	0	0	7	0	0	0	0	0	117	23	65	0	0	0	0
D_3__uncultured_planctomycete_D_4__uncultured_planctomycete$14554838ddaf22f4cf64c56e970adb3f	10	9	0	63	0	4	0	50	0	0	0	0	0	0	73	3
D_3__Microtrichales_D_4__Ilumatobacteraceae$5e3f6f65ce8d7d04fc8d50e93c05eee3	78	65	0	42	0	0	0	0	0	0	0	0	0	0	0	27
D_3__Pedosphaerales_D_4__Pedosphaeraceae$cda1fda52954b2b31db09e2dd149d29b	0	0	0	0	54	37	0	121	0	0	0	0	0	0	0	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$4a90a907a36c72766b4e27e2a8e0270d	3	0	3	28	0	11	0	4	0	14	0	0	100	0	0	40
D_3__metagenome_D_4__metagenome$0dfb89c314ac13fde9579c42ae7b9bf5	79	79	19	0	0	0	0	0	0	0	0	0	0	25	8	0
D_3__Cellvibrionales_D_4__Porticoccaceae$3253d4a42a43132a2c91ae711c796877	0	0	0	0	39	0	61	0	73	0	0	0	37	0	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$fb1e6af6f5fe541c18ac406846407b78	0	0	0	0	14	111	6	0	16	0	0	10	7	0	35	0
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$3b65eea691765afb8ce520d75f9772bd	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0
77d679b2587baf43e5ccb33015afb49b$Unassigned	14	0	0	28	0	38	0	0	0	0	0	28	0	0	0	81
D_3__Sneathiellales_D_4__Sneathiellaceae$d4ac56d1a57b34b301753061315e5ed5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
3c3e3f4a68ed7c4003fb98bedc08ab76$Unassigned	17	18	8	3	0	34	0	105	0	12	0	0	0	7	0	3
D_3__Saccharimonadales$3f779f3d3cbc428357102f6247e80f76	0	0	0	0	0	0	65	0	66	7	10	41	10	8	0	0
D_3__Thiomicrospirales_D_4__Thiomicrospiraceae$57fb8c7460710ad8baf82bde04f06761	0	6	0	0	0	0	0	0	0	0	0	0	0	11	0	36
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$cbb19a4d2ca85940cb866609184978fc	21	38	0	0	0	0	0	0	0	3	0	0	6	0	0	132
D_3__Opitutales_D_4__Puniceicoccaceae$a1f4d336238f913bd86c8ce115cc802b	0	12	101	0	0	3	0	8	0	31	0	7	0	33	4	4
D_3__Chitinophagales_D_4__uncultured$dc5bf3ac6884e0a3195f54537bd392b3	21	20	0	12	0	17	0	18	0	63	0	18	0	19	0	18
de50657c221bee77b8005d2dbbf42231$Unassigned	101	19	0	0	0	0	0	5	0	0	0	14	0	9	0	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$df81d8cd46616ba9fa2f44bafb94b77e	0	0	11	0	57	0	125	0	9	0	0	0	0	0	4	0
D_3__Nitrospinales_D_4__Nitrospinaceae$04a732956b404f6a5e6b8273856b9ff0	14	0	0	0	0	0	0	114	0	77	0	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$255189a4c3fdd51df936e4820027be09	0	0	0	0	0	0	70	0	123	0	0	0	12	0	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$3c85a50750a89ef3694cf077c984473c	0	48	0	0	0	0	0	0	0	0	0	0	0	0	157	0
D_3__Corynebacteriales_D_4__Nocardiaceae$b2cbc36a3f46798489b7ea0ead541ce2	0	0	0	0	0	41	0	61	0	0	24	15	64	0	0	0
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$5e432d3c9fe7c693ed222dae87645d17	0	0	0	0	44	0	73	0	87	0	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_II$9006b3788f7978e4d22883bccd446310	41	18	7	31	18	15	17	18	0	5	0	8	8	10	0	8
D_3__Caulobacterales_D_4__Hyphomonadaceae$05a379944c1f1e99ea9df59e1c8529bd	0	0	0	0	7	177	0	19	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d5a47760e98d10014ec499506b0f655c	0	0	0	0	0	0	193	0	0	0	0	10	0	0	0	0
D_3__Parvibaculales_D_4__PS1_clade$e1941adeee199c5093a12daf3314d478	71	0	0	25	0	31	0	0	0	0	0	12	0	43	0	21
D_3__Rhizobiales_D_4__Xanthobacteraceae$4d2c5be24fd55c999cb2bcd79ccbc27c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$c07f723e1d7293eef189a9ddf9bdc441	0	0	0	0	0	47	0	17	0	0	0	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$cca59c91bf9b3eedf8e05fb4efa78c17	0	0	0	0	49	0	29	0	67	0	29	0	28	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$21098bb847644b26d1199d5aa76f8750	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0
2b9b6f0e216bf5a040fd5c23f0ff9291$Unassigned	85	57	0	11	0	15	0	16	0	0	0	0	0	8	0	9
D_3__SAR86_clade$8fb858de036d42ccac13024a4ba80c8b	0	0	0	30	0	15	0	57	0	14	0	24	0	36	0	25
D_3__Opitutales_D_4__Puniceicoccaceae$ca9992311ea1d0119e0458b3ec2b9c78	93	30	15	0	33	2	0	0	3	2	0	0	0	0	3	20
D_3__Rhodobacterales_D_4__Rhodobacteraceae$ca9a8bf10bdd784e4247df53ad86074b	0	0	0	0	0	73	78	0	5	0	0	26	0	19	0	0
D_3__SAR11_clade_D_4__Clade_IV$d9e7df125ecf71a0e2633659977a5238	74	64	0	0	0	0	0	33	0	0	0	30	0	0	0	0
dbd579b5848814a378feadb01bf96aa2$Unassigned	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$e01bbe00cb3abf8c1e6677b1810c9179	89	39	0	29	0	0	0	0	0	15	0	0	0	0	0	28
D_3__OM182_clade_D_4__uncultured_bacterium$982e706c654b19f8f0edf321642cbefe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
D_3__Candidatus_Magasanikbacteria_D_4__uncultured_deep-sea_bacterium$7a5f4b0a5d117848d0181c09c432d753	25	6	11	12	0	0	0	0	3	0	0	0	0	0	0	9
87b5728e4455135a6e223257bc031ea7$Unassigned	0	0	4	40	60	13	0	36	0	17	0	0	0	0	0	26
D_3__Alteromonadales_D_4__Alteromonadaceae$8f2d2e59ab32a6355c9530a7070a80af	0	0	8	0	16	81	14	0	0	0	0	0	0	0	0	0
D_3__SAR324_clade(Marine_group_B)$1ff2aa19c1991c0b36be9d588062f357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
D_3__SAR11_clade_D_4__Clade_I$a78f4287414afa1797664f3edac493b1	0	52	0	33	0	0	0	16	0	0	0	21	0	29	0	44
D_3__Opitutales_D_4__Puniceicoccaceae$dc082de61f7a96436c8dc72534e255bb	0	0	148	0	0	0	0	0	0	47	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_I$90dcb671f4f5cd24834bc47f47909894	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0
D_3__SAR324_clade(Marine_group_B)$3f66745dae8650a80f9f7352c390227a	77	58	46	0	0	0	0	0	0	0	0	0	12	0	0	0
D_3__Flavobacteriales_D_4__NS7_marine_group$62fbf490c006c7eef5ade37f2fa32689	23	28	11	0	21	0	7	36	0	0	0	0	18	0	2	47
D_3__Flavobacteriales_D_4__Cryomorphaceae$e6fefbb760d1cb969ba2b1ccb121b446	0	63	0	20	0	0	0	17	0	23	0	0	0	24	0	46
D_3__Cellvibrionales_D_4__Spongiibacteraceae$8eddb0a1e9be86583f56ae08c96828a8	0	0	44	0	0	31	0	0	0	0	0	4	0	0	101	12
D_3__Rhizobiales_D_4__Beijerinckiaceae$4e7e3b402b08b021996f5dc7d511449d	0	0	0	0	0	0	0	0	0	0	0	5	15	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$610a2614d1cbb31766f2141960a49052	0	0	0	29	0	0	0	89	0	73	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Devosiaceae$7e61bd0847d5f4e1f02190ebae541796	0	0	0	0	0	0	0	4	35	0	133	0	19	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$2f5e20a6415f8e8a66b5f0b354c939c4	0	0	0	0	0	0	0	0	0	0	0	42	0	0	148	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$39e9c1e859947ad6ba4c5da71b9cd54d	12	5	13	26	0	30	0	0	0	0	0	7	97	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f93413c11fc1992dbf38c530b51a0594	0	0	0	8	0	0	0	11	0	11	0	64	0	37	0	18
28986b4bdd66e987908b3014367a3157$Unassigned	7	8	3	3	0	3	0	0	0	0	0	0	0	0	0	24
D_3__Rhizobiales_D_4__Devosiaceae$74113243bbd6ef559d0ab44a33b91a0b	0	0	4	0	25	13	55	14	21	0	21	15	8	13	0	0
04cfba0ca6b279b95de3911d3060fb31$Unassigned	5	5	11	0	0	0	0	0	0	0	0	0	0	0	167	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$d6d18b338dae50af8f473676317af30b	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Cryomorphaceae$13d4f9ed6f630ef1cbdea969e3ff3dcf	47	0	0	27	0	34	0	0	0	0	0	0	0	0	0	65
28d6d567483133fe910f908dfcb12c06$Unassigned	0	0	0	0	0	0	137	0	0	0	0	20	0	30	0	0
D_3__Pseudomonadales_D_4__Pseudomonadaceae$7d52ee71cc3f030e273db50ed3034ca9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
D_3__Propionibacteriales_D_4__Propionibacteriaceae$c47d06b422f9cbda747fe9c1e306dde4	0	0	15	11	30	11	47	11	0	0	0	13	0	9	21	0
D_3__Rhizobiales_D_4__Methyloligellaceae$d1e88c807a7fdcac79e391b1e6fb4b87	0	0	0	0	0	0	72	0	0	0	0	18	3	72	22	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e72b10b6fd10df609a8f1c56fb265ba1	0	0	0	0	0	0	0	0	71	0	0	0	64	0	0	0
D_3__Rhodospirillales_D_4__Rhodospirillaceae$24dfb06e8f8bbad67a444c41853e30ab	30	34	7	57	6	0	0	0	0	0	0	6	0	0	0	46
D_3__Coxiellales_D_4__Coxiellaceae$9b1d0b227e8ca2a15751d7919371e8c0	88	73	0	0	0	21	0	0	0	0	0	0	0	0	0	4
D_3__Cytophagales_D_4__Microscillaceae$a1117ef9d316d8dba9c6a963bdbc86e2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
D_3__SAR11_clade_D_4__Clade_II$d8239ec304493d1f8dc2eac00800fa3f	0	0	8	0	0	23	0	67	0	27	0	61	0	0	0	0
d8e1d840436cf9f95232baccb96406f4$Unassigned	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__PB19_D_4__uncultured_bacterium$7e6e6b3ac93d755cca561d547bd0b2c9	0	5	13	9	0	12	0	64	0	5	0	20	0	42	0	15
D_3__Oceanospirillales_D_4__Halomonadaceae$cce2b63709c24faf1cc0be87e19865fe	0	0	0	0	0	172	0	13	0	0	0	0	0	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$dd500bded4d8c2362d7347059ece2564	0	7	0	5	0	0	0	0	0	0	0	17	0	17	0	44
D_3__Flavobacteriales_D_4__NS7_marine_group$f6914b48943a11634e0033f5f1ad18ad	0	0	0	0	0	0	0	0	38	0	147	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$fbbc274e327d5546c0a41319f75c345a	0	7	0	54	0	70	0	20	0	15	0	0	0	4	0	15
D_3__uncultured_bacterium_D_4__uncultured_bacterium$1a457f763e51b46a46e231ef92166a4e	0	0	41	0	16	127	0	0	0	0	0	0	0	0	0	0
D_3__Micrococcales_D_4__Microbacteriaceae$735f3a8f7c5e1cbe54b6191dc436c865	0	0	0	0	37	19	44	12	13	9	6	15	15	6	8	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$ec80644bcff9a4f2dcd89b88ab471d78	0	0	0	0	53	13	33	13	23	0	19	26	4	0	0	0
D_3__Oceanospirillales_D_4__Litoricolaceae$b15f22e6627f9a6154387021a35424f3	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$ebab380585aef7761be03a48566acbe1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
D_3__Opitutales_D_4__Puniceicoccaceae$36f5c1da876c8cc5f352e371a95ebf6f	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0
7247512f18a1b4ded35953f148085798$Unassigned	48	20	74	5	0	11	0	3	0	0	0	0	0	21	0	0
D_3__Vibrionales_D_4__Vibrionaceae$c287227b77c30d8bee928db1623a1324	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_III$eb1a49fb4f25423ce2b09f1bbb957715	43	0	5	0	22	27	28	22	15	0	3	10	0	0	7	0
D_3__Rhodospirillales_D_4__AEGEAN-169_marine_group$1f89ad9068bfce67fd44fb0c9a3805d1	18	12	0	29	64	26	0	13	0	0	0	0	0	0	0	19
D_3__Chitinophagales_D_4__Chitinophagaceae$7671ca061fb02d503105a8ba4d42c33a	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
D_3__Synechococcales_D_4__Cyanobiaceae$57b6d890ad85c647c88a67512bfc4867	125	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d4da8d9e19b8c6d19e890d837f864888	0	0	0	0	0	0	0	0	131	0	49	0	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$3c3911eb2044490c17197a5eb0377df7	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
D_3__SAR324_clade(Marine_group_B)$7cdec95c53b6257e3df65954581dc335	66	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Micrococcales_D_4__Microbacteriaceae$d4771d54ab68d4bad4b70d59f4c6c6f9	0	0	0	0	0	96	0	44	0	0	39	0	0	0	0	0
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$8c0df67e6c33b7b333fa02c82f99092f	44	29	28	37	0	6	0	0	0	0	0	0	0	0	7	27
D_3__HOC36$dbe1b4b61807478fa6c2b6eee4c694d6	0	16	0	22	0	0	0	114	0	0	0	0	0	0	0	26
D_3__Flavobacteriales_D_4__Cryomorphaceae$12f13386ab5b3fd9e5b8775556849e3e	0	0	0	26	0	32	0	0	0	0	0	73	0	10	30	6
D_3__Oceanospirillales_D_4__Nitrincolaceae$1d53aa1d32bf5326abc1e94ee81a2d40	0	0	0	0	0	0	0	32	0	9	0	31	0	24	0	0
D_3__Myxococcales_D_4__Nannocystaceae$67c29b080e1256d9b127a8208fdbfadc	0	3	5	4	17	0	26	6	24	0	21	0	19	0	17	5
D_3__Flavobacteriales_D_4__Crocinitomicaceae$8cba7ac2f5982dc18c91093596b4bfbf	98	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$8fb4ad04107d96d819793b8cebd5e941	21	18	0	40	0	26	0	0	0	0	0	7	0	12	18	34
ccb47bf733d7811f15cd90b563e2bd12$Unassigned	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	47
D_3__Oceanospirillales_D_4__Nitrincolaceae$48914753f719429e0595b5425e7e2d71	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Vibrionales_D_4__Vibrionaceae$876d461818034399180cffc929bd2596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$db8f60d1b52846b21a0cfc6410bfa7e1	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0
D_3__Flavobacteriales_D_4__NS9_marine_group$e9a8f24f02d4315bd75bec8f66becc2a	15	42	16	18	0	0	19	0	5	0	0	0	0	0	6	32
D_3__Micrococcales_D_4__Microbacteriaceae$2db1f960a406715d6ce72e17ad374b96	0	0	8	0	12	8	61	8	15	10	0	27	14	10	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$5e812bf32882c0de84a83665b39a3d41	0	0	0	15	0	30	0	0	0	0	0	24	21	16	54	13
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$7dfdbe48d304bc1114dc132a88478e52	29	31	0	41	0	26	0	0	0	26	0	0	0	20	0	0
d9721d5db0d50d427da48cb04efde735$Unassigned	0	0	0	0	0	0	0	14	0	30	0	24	0	28	0	0
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$0c7f64cdfd5c88d3e1a400bd9f30c59d	55	93	0	0	0	0	0	0	0	0	0	0	0	0	0	19
D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$b20849a0d1206de47fafcfaeab044c85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
D_3__Campylobacterales_D_4__Arcobacteraceae$006d8fbadffc33bf6b36d5fb6738828f	0	0	0	0	0	0	50	21	0	0	0	37	0	8	0	0
1f1217485423a82ada42c2d4e905243c$Unassigned	0	0	17	0	0	0	0	0	0	5	21	9	0	55	64	0
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$db3e119af9735a7df4b6085251fa6777	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$dfb20209bf57d9ea2c8438b7e10e4f53	0	0	0	15	0	45	0	23	0	36	0	32	0	20	0	0
D_3__Vibrionales_D_4__Vibrionaceae$a8636df658924d077497ac11e41d91d7	0	0	0	0	0	0	0	0	0	25	0	60	0	85	0	0
D_3__Desulfovibrionales_D_4__Desulfovibrionaceae$f9cddd61acfae9e217013714a6338f8d	0	0	0	0	0	0	92	0	32	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Beijerinckiaceae$fde0c9b6b07d1d58e1e05bef933a36eb	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
D_3__Flavobacteriales_D_4__Crocinitomicaceae$12ef92fc3755a5ec52525b444b934f8d	0	4	0	0	34	0	0	33	0	7	0	15	0	71	5	0
D_3__Flavobacteriales_D_4__NS7_marine_group$0254f400e18ed0d69f20f1c79e19112e	43	62	5	7	0	0	0	11	0	11	0	0	0	0	0	29
D_3__Pseudomonadales_D_4__Moraxellaceae$16e4bf7d0b8386c487a7a4cc799f8133	0	0	0	8	16	91	28	11	0	0	0	11	3	0	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7ffee31b876609aed5ebc64d0c163a64	0	0	0	0	0	0	126	0	38	0	0	0	0	0	0	0
D_3__Oceanospirillales$dc65b8e352202750d36829760d764562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0
D_3__Actinomarinales_D_4__Actinomarinaceae$e824e963ae4d955c81c1135b67fb52c4	0	0	0	20	0	0	0	43	0	17	0	24	0	32	0	20
42ee12e30fc8cf8f9c19f9e819f74614$Unassigned	2	4	0	75	0	14	2	0	2	0	0	0	6	0	9	17
D_3__Flavobacteriales_D_4__NS9_marine_group$1d2313fa6cea1f7a4377fbb35932b1fc	48	44	35	0	0	0	0	0	0	0	0	0	0	0	0	39
D_3__Oceanospirillales_D_4__Litoricolaceae$3ceff590f37b7284f5eadacd30d697c9	0	0	0	34	25	31	0	0	7	12	0	0	0	28	0	28
D_3__Francisellales_D_4__Francisellaceae$3df68d63e43833ffacc6c66b7a951c28	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	112
D_3__Opitutales_D_4__Puniceicoccaceae$474384e8e24f91d1401d2b1c1304c945	0	6	8	0	151	0	0	0	0	0	0	0	0	0	0	0
ce0ea26583cb4a053e85017d2a1efd57$Unassigned	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0
D_3__Tenderiales_D_4__Tenderiaceae$e3bbf19f062fd3a22e16b009d9924ae2	14	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0
D_3__Nostocales_D_4__Nostocaceae$2b26ee3c06f7d8b25d5ab1cabdf3a4b6	89	34	5	5	5	6	0	7	0	0	0	0	0	3	0	10
31ffafe1fb47521e32cf17a53fad9f51$Unassigned	0	0	6	0	0	22	0	0	0	0	0	0	0	39	10	47
D_3__Nitrospinales_D_4__Nitrospinaceae$32c8e94fed653dca0f38d7823b0850be	0	0	0	0	0	0	0	117	0	15	0	17	0	15	0	0
D_3__Bacteroidales_D_4__Marinifilaceae$372e8fe91d8e701250eba83b29c1a66f	0	0	0	0	0	0	84	0	52	0	6	0	22	0	0	0
D_3__SAR11_clade_D_4__Clade_I$5ae782ff66ea034b8e52978861bb5b05	23	62	0	0	0	0	0	0	0	0	0	35	0	26	0	0
D_3__Opitutales_D_4__Puniceicoccaceae$fd350b12a2fc8658682468fb5aa1a367	0	0	8	48	0	0	0	8	0	16	0	18	0	66	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$0872b1b0394bd1055a2fa512837b0243	0	0	0	0	0	0	0	128	0	0	0	35	0	0	0	0
