sampling.day,mesocosm,value,parameter
10,2,8.98,PON
12,2,8.56,PON
14,2,8.52,PON
15,2,8.15,PON
16,2,8.04,PON
17,2,7.43,PON
18,2,9.42,PON
20,2,10.45,PON
22,2,8.85,PON
24,2,18.08,PON
26,2,6.79,PON
28,2,10.52,PON
30,2,11.82,PON
32,2,9.9,PON
34,2,11.16,PON
36,2,9.86,PON
38,2,10.67,PON
40,2,10.36,PON
42,2,11.79,PON
44,2,12.85,PON
46,2,13.06,PON
48,2,10.16,PON
50,2,18.06,PON
1,3,11.36,PON
2,3,11.25,PON
3,3,11.32,PON
4,3,9.34,PON
6,3,11.78,PON
10,3,8.97,PON
12,3,9.96,PON
14,3,9.9,PON
15,3,6.35,PON
16,3,6.18,PON
17,3,6.61,PON
18,3,6.9,PON
20,3,6.26,PON
22,3,6.79,PON
24,3,9.07,PON
26,3,9.66,PON
28,3,8.07,PON
30,3,9.57,PON
32,3,12.49,PON
34,3,9.3,PON
36,3,9.66,PON
38,3,11.6,PON
40,3,11.2,PON
42,3,9.63,PON
44,3,11.5,PON
46,3,13.59,PON
48,3,10.08,PON
50,3,22.58,PON
1,4,11.94,PON
2,4,11.12,PON
3,4,12.08,PON
4,4,8.57,PON
6,4,10.38,PON
10,4,13.88,PON
12,4,7.58,PON
14,4,7.07,PON
15,4,5.28,PON
16,4,6.25,PON
17,4,5.11,PON
18,4,6.25,PON
20,4,7.73,PON
22,4,6.17,PON
24,4,8.35,PON
26,4,9.29,PON
28,4,7.49,PON
30,4,8.8,PON
32,4,6.06,PON
34,4,6.63,PON
36,4,5.02,PON
38,4,6.35,PON
40,4,5.5,PON
42,4,5.95,PON
44,4,7.76,PON
46,4,7.09,PON
48,4,5.09,PON
50,4,6.69,PON
1,5,10.6,PON
2,5,10.24,PON
3,5,9.58,PON
4,5,9.23,PON
6,5,13.41,PON
10,5,7.83,PON
12,5,7.96,PON
14,5,10.01,PON
15,5,6.66,PON
16,5,7.42,PON
17,5,6.1,PON
18,5,7.44,PON
20,5,7.79,PON
22,5,9.08,PON
24,5,9.76,PON
26,5,9.32,PON
28,5,10.23,PON
30,5,11.76,PON
32,5,7.21,PON
34,5,9.79,PON
36,5,8.96,PON
38,5,13.1,PON
40,5,11.81,PON
42,5,10.48,PON
44,5,12.54,PON
46,5,15.46,PON
48,5,11.37,PON
50,5,21.97,PON
1,6,10.63,PON
2,6,10.18,PON
3,6,10.24,PON
4,6,10.54,PON
6,6,10.96,PON
10,6,10.34,PON
12,6,10.56,PON
14,6,9.31,PON
15,6,7.17,PON
16,6,8.46,PON
17,6,6.41,PON
18,6,6.4,PON
20,6,7.92,PON
22,6,10.19,PON
24,6,11.07,PON
26,6,12.07,PON
28,6,8.98,PON
30,6,12.01,PON
32,6,10.82,PON
34,6,10.69,PON
36,6,10.04,PON
38,6,10.73,PON
40,6,10.08,PON
42,6,10.88,PON
44,6,11.82,PON
46,6,11.61,PON
48,6,8.62,PON
50,6,19.9,PON
1,7,9.24,PON
2,7,10.97,PON
3,7,11.48,PON
4,7,11.21,PON
6,7,13.07,PON
10,7,11.97,PON
12,7,9.98,PON
14,7,9.71,PON
15,7,8.01,PON
16,7,7.09,PON
17,7,8.03,PON
18,7,10.73,PON
20,7,9.29,PON
22,7,9.76,PON
24,7,10.19,PON
26,7,12.83,PON
28,7,11.35,PON
30,7,13.29,PON
32,7,10.38,PON
34,7,11.87,PON
36,7,12.64,PON
38,7,13.62,PON
40,7,12.3,PON
42,7,13.46,PON
44,7,19.42,PON
46,7,17.47,PON
48,7,21.22,PON
50,7,23.78,PON
1,8,10.39,PON
2,8,10.19,PON
3,8,10.2,PON
4,8,10.27,PON
6,8,11.09,PON
10,8,9.57,PON
12,8,8.52,PON
14,8,7.49,PON
15,8,6.45,PON
16,8,6.56,PON
17,8,5.84,PON
18,8,6.35,PON
20,8,8.14,PON
22,8,9.22,PON
24,8,10.23,PON
26,8,15.36,PON
28,8,11.45,PON
30,8,10.74,PON
32,8,8.21,PON
34,8,10.74,PON
36,8,9.81,PON
38,8,10.9,PON
40,8,11.84,PON
42,8,11.96,PON
44,8,13.74,PON
46,8,14.75,PON
48,8,15.96,PON
50,8,20.09,PON
3,10,10.03,PON
4,10,10.94,PON
10,10,10.86,PON
12,10,10.65,PON
14,10,10.33,PON
15,10,10.18,PON
16,10,10.28,PON
17,10,7.93,PON
18,10,8.99,PON
20,10,8.51,PON
22,10,11.89,PON
24,10,10.34,PON
26,10,10.48,PON
28,10,8.75,PON
30,10,16.2,PON
32,10,4.83,PON
34,10,8.73,PON
36,10,9.64,PON
38,10,5,PON
40,10,6.64,PON
42,10,5.72,PON
44,10,9.41,PON
46,10,6.31,PON
48,10,8.7,PON
50,10,8.36,PON
1,1,0.66,TPP
2,1,0.72,TPP
3,1,0.48,TPP
4,1,0.52,TPP
6,1,0.57,TPP
8,1,0.49,TPP
10,1,0.44,TPP
12,1,0.27,TPP
14,1,0.3,TPP
15,1,0.29,TPP
16,1,0.37,TPP
17,1,0.26,TPP
18,1,0.3,TPP
20,1,0.31,TPP
22,1,0.5,TPP
24,1,0.48,TPP
26,1,0.5,TPP
28,1,0.45,TPP
30,1,0.48,TPP
32,1,0.43,TPP
34,1,0.42,TPP
36,1,0.42,TPP
38,1,0.38,TPP
40,1,0.43,TPP
42,1,0.46,TPP
44,1,0.64,TPP
46,1,0.68,TPP
48,1,0.59,TPP
50,1,1.12,TPP
1,2,0.5,TPP
2,2,0.72,TPP
3,2,0.59,TPP
4,2,0.6,TPP
6,2,0.49,TPP
8,2,0.42,TPP
10,2,0.34,TPP
12,2,0.29,TPP
14,2,0.34,TPP
15,2,0.32,TPP
16,2,0.36,TPP
17,2,0.29,TPP
18,2,0.38,TPP
20,2,0.36,TPP
22,2,0.48,TPP
24,2,0.5,TPP
26,2,0.56,TPP
28,2,0.5,TPP
30,2,0.47,TPP
32,2,0.5,TPP
34,2,0.47,TPP
36,2,0.5,TPP
38,2,0.47,TPP
40,2,0.56,TPP
42,2,0.54,TPP
44,2,0.62,TPP
46,2,0.57,TPP
48,2,0.51,TPP
50,2,0.76,TPP
1,3,0.62,TPP
2,3,0.74,TPP
3,3,0.69,TPP
4,3,0.44,TPP
6,3,0.5,TPP
8,3,0.47,TPP
10,3,0.45,TPP
12,3,0.29,TPP
14,3,0.38,TPP
15,3,0.34,TPP
16,3,0.33,TPP
17,3,0.25,TPP
18,3,0.23,TPP
20,3,0.2,TPP
22,3,0.37,TPP
24,3,0.39,TPP
26,3,0.43,TPP
28,3,0.39,TPP
30,3,0.47,TPP
32,3,0.48,TPP
34,3,0.45,TPP
36,3,0.49,TPP
38,3,0.42,TPP
40,3,0.57,TPP
42,3,0.44,TPP
44,3,0.76,TPP
46,3,0.68,TPP
48,3,0.62,TPP
50,3,0.95,TPP
1,4,0.67,TPP
2,4,0.71,TPP
3,4,0.58,TPP
4,4,0.44,TPP
6,4,0.52,TPP
8,4,0.33,TPP
10,4,0.44,TPP
12,4,0.31,TPP
14,4,0.38,TPP
15,4,0.25,TPP
16,4,0.25,TPP
17,4,0.25,TPP
18,4,0.23,TPP
20,4,0.21,TPP
22,4,0.25,TPP
24,4,0.25,TPP
26,4,0.33,TPP
28,4,0.33,TPP
30,4,0.33,TPP
32,4,0.24,TPP
34,4,0.22,TPP
36,4,0.2,TPP
38,4,0.19,TPP
40,4,0.24,TPP
42,4,0.24,TPP
44,4,0.31,TPP
46,4,0.37,TPP
48,4,0.28,TPP
50,4,0.38,TPP
1,5,0.57,TPP
2,5,0.62,TPP
3,5,0.63,TPP
4,5,0.55,TPP
6,5,0.5,TPP
8,5,0.36,TPP
10,5,0.38,TPP
12,5,0.31,TPP
14,5,0.42,TPP
