#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_27950	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Ethmidium	Ethmidium maculatum
ASV_27951	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27952	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27953	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Lampadena	Lampadena urophaos
ASV_27955	Eukaryota	Chordata	Actinopteri	unassigned	unassigned	g_	s_
ASV_27956	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_27958	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_27959	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_27960	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_27961	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_27962	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_27963	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27965	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27966	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27969	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus
ASV_27972	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27976	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27978	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_27979	Eukaryota	Chordata	Actinopteri	unassigned	unassigned	g_	s_
ASV_27981	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27985	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_27986	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_27987	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27989	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27993	Eukaryota	Chordata	Actinopteri	Mugiliformes	Mugilidae	Mugil	Mugil cephalus
ASV_27996	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_27997	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	Equetus	s_
ASV_28001	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	g_	s_
ASV_28003	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola lalandi
ASV_28004	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Cheilodactylidae	Cheilodactylus	Cheilodactylus variegatus
ASV_28005	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_28007	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Ethmidium	Ethmidium maculatum
ASV_28008	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_28010	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_28012	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Odontesthes	unassigned
ASV_28015	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_28016	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_28018	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	unassigned
ASV_28022	Eukaryota	Chordata	Actinopteri	Beloniformes	Exocoetidae	unassigned	s_
ASV_28024	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_28025	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_28027	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Sardinops	Sardinops melanostictus
ASV_28028	Eukaryota	Chordata	Aves	Pelecaniformes	Pelecanidae	Pelecanus	Pelecanus occidentalis
ASV_28029	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_28032	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_28033	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_28050	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	g_	s_
ASV_28052	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_28060	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae	g_	s_
ASV_28084	Eukaryota	Chordata	Actinopteri	unknown	Pomacentridae	Chromis	unassigned
ASV_28097	Eukaryota	Chordata	Aves	Charadriiformes	Laridae	Larosterna	Larosterna inca
ASV_28116	Eukaryota	Chordata	Aves	Pelecaniformes	Sulidae	Sula	Sula nebouxii
ASV_28206	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	g_	s_
