#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_12037	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12057	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12098	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12113	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_12197	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_12242	Eukaryota	unknown	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_12252	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_12276	Eukaryota	Ctenophora	Tentaculata	Lobata	Bolinopsidae	g_	s_
ASV_12280	Eukaryota	Arthropoda	Insecta	Diptera	unassigned	g_	s_
ASV_12282	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_12311	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	Asterionellopsis lenisilicea
ASV_12330	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_12346	Eukaryota	Arthropoda	Insecta	Hemiptera	unknown	unknown	Hemiptera sp. BIOUG03768-E03
ASV_12365	Eukaryota	unknown	Dictyochophyceae	Dictyochales	unknown	g_	s_
ASV_12367	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	unassigned
ASV_12387	Eukaryota	Bacillariophyta	Mediophyceae	Hemiaulales	Hemiaulaceae	Eucampia	Eucampia zodiacus
ASV_12401	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_12409	Bacteria	unknown	unknown	unknown	unknown	unknown	bacterium
ASV_12410	Eukaryota	Arthropoda	Insecta	Coleoptera	Ptinidae	g_	s_
ASV_12457	Bacteria	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_12473	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema japonicum
ASV_12476	Eukaryota	unknown	unknown	unknown	Vannellidae	g_	s_
ASV_12497	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_12511	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_12516	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_12548	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_12580	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_12590	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_12591	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_12603	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_12606	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_12621	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea
ASV_12646	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	Asterionellopsis lenisilicea
ASV_12650	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_12685	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_12692	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	g_	s_
ASV_12693	Eukaryota	Mollusca	Gastropoda	unknown	Pachychilidae	g_	s_
