#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_8492	1	22	18	18	2	15	0	39	4	24	0	10	0	11	0	35
ASV_8495	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ASV_8500	1	4	43	35	368	2	4	1	0	0	0	0	0	9	2	0
ASV_8508	0	0	0	0	96	0	330	5	90	0	0	0	0	0	0	0
ASV_8509	0	2	0	0	0	0	0	0	0	0	0	0	4	1	0	0
ASV_8516	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_8517	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
ASV_8520	0	2	0	0	0	0	0	0	0	0	0	7	0	597	3	0
ASV_8525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8528	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0
ASV_8531	2	2	8	7	0	1	0	0	0	0	0	4	0	7	24	4
ASV_8536	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8563	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8576	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8577	113	2256	2083	1660	12	519	2	3390	157	2477	42	707	0	1199	0	3423
ASV_8581	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_8592	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_8594	0	0	0	0	5	1	0	0	0	0	0	0	7	0	0	0
ASV_8599	0	20	26	15	5	3	0	5	5	2	0	0	0	6	0	24
ASV_8603	2	4	0	0	0	0	19	0	0	0	0	4	2	2	0	0
ASV_8605	2	13	6	7	2	1	0	0	4	3	0	4	0	1	0	6
ASV_8608	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_8610	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_8620	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8622	1	8	7	5	3	0	0	1	2	1	0	0	0	0	0	5
ASV_8633	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0
ASV_8637	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8640	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8648	45	8	31	7	152	3	30	1	49	0	4	3	0	10	48	17
ASV_8653	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8669	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_8673	837	12	147	146	0	80	2	74	2	6	0	42	0	26	13	13
ASV_8674	0	32	37	28	0	1	0	24	0	25	0	5	0	164	0	57
ASV_8678	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8680	22	0	0	0	500	0	119	6	67	0	6	0	15	3	0	0
ASV_8693	85	29	11	32	237	39	16	12	214	0	10	2	0	41	0	68
ASV_8696	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8700	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_8702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_8703	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0
ASV_8708	0	1	0	2	0	3	0	12	6	3	0	2	0	0	0	0
ASV_8710	0	2	12	4	0	0	0	0	0	8	0	10	0	76	0	5
ASV_8732	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_8736	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0
ASV_8737	591	29	7	2	0	2	0	61	0	6	0	12	0	18	62	8
ASV_8742	9	0	0	0	2	0	26	0	25	0	0	0	0	0	0	0
ASV_8747	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_8749	0	2	40	3	0	0	0	4	0	0	0	0	0	12	0	0
ASV_8762	0	4	34	62	0	0	0	0	0	0	0	0	0	0	0	1
ASV_8767	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8770	2	12	5	5	1	2	0	0	2	2	0	0	0	2	0	11
ASV_8776	0	3	16	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8783	1	18	24	18	3	2	0	0	2	1	0	0	0	0	0	13
ASV_8797	3	10	19	10	0	0	0	117	0	29	0	5	0	17	25	0
ASV_8806	0	5	0	7	0	9	0	3	0	0	0	0	2	0	0	9
ASV_8814	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8823	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_8826	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_8836	0	0	0	0	0	0	0	9	0	1	0	2	0	11	0	0
ASV_8851	0	4	2	3	2	1	1	0	0	2	0	0	0	2	0	2
ASV_8858	4	2	0	0	61	2	30	0	22	0	2	1	17	4	0	1
ASV_8876	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0
ASV_8880	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8889	1	17	61	38	3	4	3	0	4	3	0	0	0	2	0	21
ASV_8894	1	469	116	59	1	1675	0	59	0	473	6	104	0	418	0	358
ASV_8898	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_8916	0	2	0	1	0	0	0	0	0	0	0	0	0	7	0	7
ASV_8932	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_8962	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_8966	0	0	0	3	0	0	0	12	0	0	0	14	0	4	0	0
ASV_8972	0	12	0	5	0	2	26	52	1	39	0	34	0	86	4	139
ASV_8980	12	1	0	0	23	2	5	1	7	0	0	0	0	2	0	0
ASV_8983	2	2	5	0	0	2	0	19	0	0	0	1	0	3	0	0
ASV_8984	13	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0
ASV_9005	126	0	2	1	257	1	38	0	57	0	2	2	2	0	0	0
ASV_9013	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_9014	6	0	1	3	1	1	0	11	0	0	0	3	0	1	0	0
ASV_9021	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_9035	3	18	0	0	0	3	0	0	0	6	1	11	0	2	0	4
ASV_9056	467	48	200	1364	62	36	5	15	0	2	2	14	1	17	7	82
ASV_9059	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9063	10	72	181	190	0	19	0	3	0	62	0	36	19	62	0	14
ASV_9071	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0
ASV_9080	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV_9087	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_9102	9	53	1	2	0	8	17	0	2	3	0	14	1	2	127	2
ASV_9111	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_9115	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
ASV_9129	449	0	40	31	206	0	7	0	3	0	0	4	0	1	0	4
ASV_9133	0	0	0	0	0	0	0	6	10	0	0	1	0	0	2	0
ASV_9137	5	0	0	0	9	1	0	0	0	0	3	0	1	0	0	0
ASV_9147	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_9151	0	0	0	3	0	1	0	21	0	0	0	0	0	0	0	0
ASV_9153	2	0	0	0	5	0	0	0	1	0	1	0	0	0	0	0
ASV_9161	79	1	0	2	151	0	266	1	257	0	0	0	1	0	0	0
ASV_9176	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ASV_9185	1	11	0	7	0	1	0	0	0	0	0	0	0	0	0	2
ASV_9196	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9197	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
