#OTUID	KOSMOSD15_M1AS_UU	KOSMOSD15_MPAS_UU	KOSMOSD1_M1BS_UU	KOSMOSD1_MPBS_UU	KOSMOSD24_M1AS_UU	KOSMOSD24_MPAS_UU	KOSMOSD32_M1AS_UU	KOSMOSD32_MPAS_UU	KOSMOSD36_M1AS_UU	KOSMOSD36_MPAS_UU	KOSMOSD42_M1AS_UU	KOSMOSD42_MPAS_UU	KOSMOSD48_M1AS_UU	KOSMOSD48_MPAS_UU	KOSMOSD8_M1AS_UU	KOSMOSD8_MPAS_UU
ASV_1621	11	3	0	0	11	0	10	13	11	0	2	5	2	2	0	1
ASV_1625	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1626	0	3	0	6	0	2	0	3	0	0	0	0	0	18	0	0
ASV_1628	0	0	0	0	1	0	2	3	7	0	14	1	28	0	0	0
ASV_1630	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
ASV_1633	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_1644	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_1647	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_1650	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1651	293	2	141	134	43	13	9	201	0	433	0	26	0	31	155	2
ASV_1656	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_1663	0	1	19	5	0	6	0	5	0	2	0	7	0	0	0	4
ASV_1669	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0
ASV_1671	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0
ASV_1676	1	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0
ASV_1679	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_1681	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1683	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_1686	0	16	47	14	0	7	0	0	0	3	0	1	0	17	2	23
ASV_1688	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1691	0	5	0	2	0	0	0	1	0	2	0	0	0	3	0	1
ASV_1696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_1700	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1702	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_1703	0	22	721	106	0	5	0	0	0	17	0	7	0	0	3	15
ASV_1713	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ASV_1714	0	4	0	4	0	0	0	0	0	0	0	0	5	0	0	0
ASV_1715	2	0	0	0	0	3	0	6	0	0	0	3	0	12	0	0
ASV_1717	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1732	0	5	2	6	0	8	1	10	0	5	0	0	0	13	0	120
ASV_1734	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ASV_1742	0	5	6	10	0	0	0	0	0	3	0	0	0	0	1	0
ASV_1744	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV_1747	0	9	0	0	0	0	0	0	0	14	1	0	0	0	0	0
ASV_1752	18	2	22	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1753	0	19	30	17	0	8	0	7	0	11	0	57	0	0	0	1
ASV_1756	0	0	0	0	0	1	0	20	0	0	1	8	0	0	0	0
ASV_1760	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_1766	0	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0
ASV_1767	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_1769	0	0	0	0	0	0	0	3	0	7	0	16	0	7	0	0
ASV_1770	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
ASV_1772	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_1779	0	0	11	0	0	19	0	0	0	3	0	0	0	4	0	0
ASV_1784	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_1785	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1788	4	0	0	1	0	4	0	0	0	2	0	1	0	2	1	0
ASV_1790	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1795	0	0	0	0	0	0	0	3	0	3	0	3	0	1	0	0
ASV_1798	14	10	59	13	0	4	0	10	0	7	0	2	0	0	16	29
ASV_1803	2	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0
ASV_1806	0	0	1	1	0	0	0	0	0	2	0	5	0	0	0	0
ASV_1807	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0
ASV_1808	0	0	13	8	0	0	0	8	0	2	0	7	0	34	0	1
ASV_1809	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ASV_1810	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2
ASV_1812	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1813	2	0	0	1	65	9	148	20	88	3	14	2	71	1	0	0
ASV_1814	0	0	37	5	2	23	0	18	0	16	0	7	0	0	0	0
ASV_1815	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1817	93	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1828	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1829	4	15	13	2	0	21	0	2	0	0	0	8	0	5	0	1
ASV_1830	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1841	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_1844	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1846	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0
ASV_1849	0	2	0	0	0	0	0	5	0	0	0	0	0	4	0	0
ASV_1861	0	2	3	30	0	0	0	11	0	0	0	1	7	143	3	0
ASV_1862	0	76	308	84	3	132	0	8	0	2	1	7	0	1	0	5
ASV_1863	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1865	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1868	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
ASV_1869	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_1870	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_1871	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1881	0	5	6	2	0	56	0	13	0	48	0	10	0	20	0	0
ASV_1884	0	0	0	0	0	0	0	1	0	8	0	15	1	5	0	0
ASV_1885	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_1889	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_1890	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_1893	0	6	4	17	0	2	0	2	0	2	0	5	0	16	0	0
ASV_1895	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ASV_1900	0	0	0	0	0	0	0	6	0	5	0	0	0	1	0	0
ASV_1905	0	0	0	0	0	0	0	3	0	5	0	3	0	0	0	0
ASV_1910	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_1921	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_1924	0	1	0	0	0	1	0	0	0	2	0	1	0	1	0	0
ASV_1925	0	0	0	0	0	0	0	0	2	2	4	2	0	0	0	0
ASV_1926	159	34	0	0	0	0	0	0	0	1	0	1	0	3	0	0
ASV_1927	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ASV_1929	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
ASV_1936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_1937	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1938	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1939	0	0	0	0	0	0	0	1	0	0	0	12	0	11	0	0
ASV_1944	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1953	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1961	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_1963	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_1964	0	2	3	5	0	5	0	1	25	0	3	5	0	0	0	0
ASV_1965	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1967	0	2	31	12	0	9	0	3	0	0	0	0	0	0	0	0
ASV_1975	0	20	14	2	0	0	0	6	0	0	0	0	0	12	0	0
ASV_1978	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
ASV_1980	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_1981	0	5	0	0	0	0	0	0	0	0	4	7	0	7	1	0
ASV_1983	0	9	2	2	2	111	0	53	0	8	0	1	0	0	4	0
ASV_1985	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	1
ASV_1986	4	9	0	0	0	0	0	0	0	3	0	4	0	1	0	0
