"","ASV","KOSMOS.D3.control1","KOSMOS.D3.control2","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19",74876,12647,0.167117287415843,0.000196427451728114,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"2","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$7a3f6fa65c67106e022004f060c8249a",18739,9,0.0357976178201412,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"3","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$83b71a0936aaf776a3979b868595a01d",11875,3091,0.028576229373599,1.47160631587838e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium",""
"4","D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3",11752,28,0.0224928492597218,0.000282804344181844,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",""
"5","D_3__Sphingomonadales_D_4__Sphingomonadaceae$9c3e648927a2024eec07e27b3a3e2393",10403,273,0.0203848606703556,0.000150679690169286,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"6","31b26013281eca9110cd4e6ee0b5c473$Unassigned",328,9578,0.0189146150056709,NA,"Unassigned","","","","","",""
"7","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$02ebc9e2294109abe2666165e6007aa4",7576,1494,0.0173183482840133,3.80698155629406e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"8","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$4036d7d073679e836ef1fe245f32446f",7160,20,0.0137095634706963,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",""
"9","D_3__Synechococcales_D_4__Cyanobiaceae$80522704d59cd214493d481cf1236310",6103,442,0.0124970881498199,0.00824675382841582,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",""
"10","D_3__Caulobacterales_D_4__Parvularculaceae$294623f4e6ee53596c16f77f2b995b2f",0,6545,0.0124970881498199,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Amphiplicatus",""
"11","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4",5131,1412,0.0124932693299117,0.000125726365682653,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",""
"12","D_3__Sphingomonadales_D_4__Sphingomonadaceae$83d1083a5a0be30ff0ae1f3d53dfc08a",0,4448,0.00849305547599681,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"13","D_3__Caenarcaniphilales_D_4__uncultured_Firmicutes_bacterium$19228c29cc2c7907a6a6f0203a64adff",0,4002,0.00764145863645216,NA,"Bacteria","Cyanobacteria","Melainabacteria","Caenarcaniphilales","","",""
"14","D_3__Caulobacterales_D_4__Caulobacteraceae$40dd03bfadc6647c1d86abfa7a0494b5",3933,27,0.00756126341837845,0.000563689201864717,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",""
"15","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$f8f94c81254153441c14c41ee29d9e51",3898,0,0.00744288000122202,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"16","D_3__Sphingomonadales_D_4__Sphingomonadaceae$03f6ee3b2fd107b28848749b78775ae7",0,3732,0.00712591794883545,1.24766622433167e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",""
"17","D_3__Pseudomonadales_D_4__Pseudomonadaceae$2a6cac468e0b4308baca8d57dea3e402",3570,25,0.00686432878511882,1.69554640742509e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"18","835be750e3f8ba716ac451eac0ce46a3$Unassigned",0,3460,0.00660655844131047,NA,"Unassigned","","","","","",""
"19","D_3__Sphingomonadales_D_4__Sphingomonadaceae$644e31b98b70267606bc60888ed1a663",3395,64,0.00660464903135633,0.000263609479192127,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"20","D_3__Flavobacteriales_D_4__Flavobacteriaceae$bbb08c40fc9724ebcb5f877dc9c9c61d",3026,231,0.00621894822062086,0.00259514574660987,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquibacter",""
"21","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$7c85bd8dbdd720ad4f0c7b3310a3f9d6",0,3034,0.00579314980084854,1.2796576659812e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"22","D_3__Caulobacterales_D_4__Caulobacteraceae$827988f78e5bb3d513296a5d96a32bbf",2926,0,0.00558693352580186,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","",""
"23","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$4a6cc311df4478ad1a08ec6bb4937e69",0,2923,0.00558120529593945,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"24","D_3__Pseudomonadales_D_4__Moraxellaceae$e5f45158c9ef96a9eb278f32307cb69b",2085,817,0.00554110768690259,8.06184329568154e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"25","D_3__Chitinophagales_D_4__Chitinophagaceae$562002978aa38e29640f643bfece5971",2676,26,0.0051592256960754,9.59743249485897e-07,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium",""
"26","D_3__Oceanospirillales_D_4__Saccharospirillaceae$f55bae9537e2c50b8ad2b9a5eb347e2b",2490,76,0.00489954594231291,1.02372613278496e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","",""
"27","D_3__Rhizobiales_D_4__Rhizobiales_Incertae_Sedis$3b203d18142e589b256b84e0988eea1f",0,2559,0.00488618007263395,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter",""
"28","D_3__Sphingomonadales_D_4__Sphingomonadaceae$963779f09d9b3cd1789a44ecbeb74d9f",2552,0,0.004872814202955,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"29","D_3__Flavobacteriales_D_4__Cryomorphaceae$9df0689bbef29c91aed77804ff19d4fd",2468,31,0.0047716154753858,0.000135003883761016,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"30","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$b12edcb675105b1cc64cc05b27be9ec5",1984,488,0.00472006140662413,9.59743249485897e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium",""
"31","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$59ab4e2267357e739a98caa4c689365c",1940,318,0.00431144767643903,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",""
"32","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$cc56c34e971532f6b8f5fe9d01010ddd",0,2229,0.00425607478776908,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","",""
"33","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$759684bdfc07068c417d96936a4c9d8f",0,2220,0.00423889009818186,0.000100773041196019,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter",""
"34","D_3__Rhizobiales_D_4__Xanthobacteraceae$7f218f4dc55c27a35983be7c8e1f6c40",0,2135,0.0040765902520803,1.31164910763073e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",""
"35","D_3__Bacteroidetes_VC2.1_Bac22$1d2532d203d263d464395190d1c88137",2041,74,0.00403840205299758,0.00615739277428502,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidetes_VC2.1_Bac22","","",""
"36","D_3__Xanthomonadales_D_4__Xanthomonadaceae$8875b05b508dbb42caaeb1c1e28fcf04",1834,0,0.00350185785588537,8.95760366186838e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",""
"37","D_3__Sphingomonadales_D_4__Sphingomonadaceae$765355eb62dceab1f16b7a7ed75e6cb5",0,1830,0.00349422021606883,6.78218562970034e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas",""
"38","D_3__Tenderiales_D_4__Tenderiaceae$a54a9570a52d594d8cb76c095b6a8a44",0,1797,0.00343120968758234,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",""
"39","D_3__Pseudomonadales_D_4__Pseudomonadaceae$40cbd036e05bc20cdb3d967167795a37",1095,602,0.00324026869216875,3.19914416495299e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"40","D_3__Rhizobiales_D_4__Hyphomicrobiaceae$ad4925b90e316548175662ac6c8cca99",0,1686,0.00321926518267325,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",""
"41","D_3__Rhodobacterales_D_4__Rhodobacteraceae$e2e3268741e33607b3560e5811e1e5d7",0,1640,0.003131432324783,6.07837391341068e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",""
"42","D_3__Cellvibrionales_D_4__Cellvibrionaceae$c2f85a5460c51ab88a62190bb5032894",0,1629,0.0031104288152875,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",""
"43","D_3__Nostocales_D_4__Nostocaceae$aae4f3005b44935cecbcec90c2dbdcac",0,1601,0.00305696533657169,NA,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Synechococcus_PCC-7902","Synechococcus_sp._PCC_7902"
"44","D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$31dc6ab40a92b3faf1f701b93c49b0ba",1413,170,0.00302259595739725,6.07837391341068e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",""
"45","D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8cf5de21b66830f7735d9a8e76a84e0",0,1577,0.00301113949767243,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"46","D_3__Sphingomonadales_D_4__Sphingomonadaceae$2e7a5627539351d24144922aaed0c9f0",788,746,0.00292903486964458,7.96586897073295e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",""
"47","D_3__SAR11_clade_D_4__Clade_I$d47fbc8bf4a19f82431bc9f1d1886734",1291,120,0.00269417744528586,0.0533591653560839,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"48","D_3__Oceanospirillales_D_4__Saccharospirillaceae$e0d9f9bebda4f2ae173482e240077e4b",1310,45,0.00258725048785424,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","",""
"49","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$c6acf0652e795a22b496c35ebe34b83e",1341,0,0.00256051874849634,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",""
"50","D_3__Sphingomonadales_D_4__Sphingomonadaceae$7e6a9d305a468f98960341dff62ed4e6",0,1332,0.00254333405890912,0.00119360068794396,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",""
"51","D_3__Propionibacteriales_D_4__Propionibacteriaceae$f17d3da8eb98435912cf7cfb2d1bfbdb",1286,24,0.00250132703991812,1.5995720824765e-06,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",""
"52","D_3__Sphingomonadales_D_4__Sphingomonadaceae$75f07cedd0207588711eed7e513b9c16",0,1305,0.00249177999014744,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"53","D_3__Flavobacteriales_D_4__Flavobacteriaceae$bf46d2eaf500602bdac8966def60bd6d",1295,7,0.00248605176028504,0.0142841786965151,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","",""
"54","D_3__Nostocales_D_4__Microcystaceae$2ba92ab939546d16c58b52705f1b0a4a",0,1301,0.0024841423503309,NA,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Microcystaceae","Chalicogloea_CCALA_975","Chroococcus_sp._FPU101"
"55","D_3__Rhodobacterales_D_4__Rhodobacteraceae$edbdf2f0994a078171a44765047f8302",1245,24,0.00242304123179855,0.0516469833990011,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","HIMB11",""
"56","D_3__Alteromonadales_D_4__Colwelliaceae$794c3a38a899cc107b1f64170567f666",1127,122,0.00238485303271583,0.000103652270944477,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"57","D_3__Pseudomonadales_D_4__Moraxellaceae$13d2dd7756048a70223a14884f83b6bc",0,1234,0.00235621188340379,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",""
"58","D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$5681fb74f270c38c25132237f1c3a999",0,1230,0.00234857424358725,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"59","D_3__Alteromonadales_D_4__Colwelliaceae$ccd078bd4639483431e02397eddea90b",1145,69,0.00231802368432107,0.000127645852181624,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"60","cbf18893aa27d1847f6010bcb71458ae$Unassigned",0,1206,0.00230274840468798,NA,"Unassigned","","","","","",""
"61","D_3__Pseudomonadales_D_4__Moraxellaceae$c97b8b68c155227759272ca49e5e4857",0,1199,0.00228938253500903,3.80698155629406e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",""
"62","D_3__Bdellovibrionales_D_4__Bdellovibrionaceae$85163bebd884a26a9790b0d1efce302c",0,1198,0.0022874731250549,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"63","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$1e47d2cfbdb7f6e33020892e04c654f9",0,1167,0.00222828141647668,1.40762343257932e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"64","$70db9def9453e4226ae596e454584e93",1131,29,0.00221491554679773,4.25486173938748e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","","","",""
"65","D_3__Oceanospirillales_D_4__Saccharospirillaceae$23383d3a96f4263752a17b18fec7b9ce",1096,49,0.00218627439748569,1.40762343257932e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","",""
"66","D_3__Caulobacterales_D_4__Caulobacteraceae$4fb88eab2fc34188eb5f86b55e520348",542,560,0.00210416976945784,1.5995720824765e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",""
"67","D_3__Sphingomonadales_D_4__Sphingomonadaceae$d849721d596d205e6f4949b2fdacb76e",1082,0,0.00206598157037512,2.20740947381756e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",""
"68","D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$9e226c2e0b6cc98aefb15a444b658f9a",1009,64,0.0020487968807879,0.00016059703708064,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter",""
"69","D_3__Rickettsiales_D_4__SM2D12$3a59d7f82b22cd9507ac64d06f4a5368",0,1039,0.00198387694234728,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","",""
"70","D_3__Micrococcales_D_4__Microbacteriaceae$f3d64f0bdb112501773f302fd53ec640",1032,6,0.00198196753239314,0.000416208655860384,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",""
"71","d54b0f8c27429d53dc102f33065bb63a$Unassigned",0,1022,0.00195141697312696,NA,"Unassigned","","","","","",""
"72","D_3__Flavobacteriales_D_4__Flavobacteriaceae$483619e379d547311bde18d477678c56",995,15,0.00192850405367733,NA,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"73","D_3__uncultured_D_4__uncultured_bacterium$1291d50c161b7ae9f485948c24623be9",0,1003,0.00191513818399838,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","","","",""
"74","D_3__Acidithiobacillales_D_4__Acidithiobacillaceae$bda5ab583695d5b00a628aadfba4c4dc",0,983,0.00187694998491566,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112",""
"75","D_3__Salinisphaerales_D_4__Solimonadaceae$c9c6324382f4447a0ce69b664ccd4ea6",0,980,0.00187122175505325,1.2796576659812e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia",""
"76","D_3__Obscuribacterales$078719bd0d6dbfee8d971f6924bcd345",0,965,0.00184258060574121,NA,"Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","","",""
"77","D_3__Rhizobiales_D_4__Xanthobacteraceae$0c0b7ffb50c9e5a4617c2134ac9eab6c",0,957,0.00182730532610813,0.000250492988115819,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",""
"78","D_3__Chromatiales_D_4__Sedimenticolaceae$447e2163819599bd3478068290b17aa1",0,952,0.00181775827633745,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","",""
"79","D_3__Rhodobacterales_D_4__Rhodobacteraceae$1b41f940d011e3ffef71dfcb21e2d6cb",874,69,0.00180057358675022,0.00219493281157425,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","",""
"80","D_3__Alteromonadales_D_4__Alteromonadaceae$73af9ec78d02cdddfa21e84f39f894f8",930,3,0.00178147948720886,0.00433036154168037,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",""
"81","D_3__Cellvibrionales_D_4__Halieaceae$bd2764ac88abee9e13e2a78d932cd7fa",840,40,0.00168028075963966,0.00016603558216106,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","",""
"82","D_3__Oceanospirillales_D_4__Pseudohongiellaceae$9f80454f1ddb1089474e9f616288fd77",0,877,0.00167455252977725,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",""
"83","D_3__Flavobacteriales_D_4__Flavobacteriaceae$a12c7425435b44bf2374a25ea31151c4",850,24,0.00166882429991484,NA,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"84","D_3__Sphingobacteriales_D_4__Lentimicrobiaceae$36e67bfc839356ae084aeeecdaf1ddc1",840,16,0.00163445492074039,8.02985185403201e-05,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","",""
"85","D_3__Chitinophagales_D_4__Saprospiraceae$8b7c6e896c52a379a4bda7d0a9ec6f33",764,91,0.00163254551078626,0.000541615107126542,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",""
"86","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$44e5593d3cfd1f67252e98fd8c88a731",819,16,0.00159435731170354,1.08770901608402e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"87","D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501",791,34,0.00157526321216218,0.00263993376491921,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella",""
"88","D_3__Alteromonadales_D_4__Colwelliaceae$7ca0426eb869c612d96a3cc6176a277f",752,69,0.00156762557234563,1.75952929072415e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"89","D_3__Alteromonadales_D_4__Colwelliaceae$6ce466a71044cd9504032630c00c9ea7",797,22,0.00156380675243736,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",""
"90","D_3__Pseudomonadales_D_4__Moraxellaceae$d84df7c221e26cce01111b75606b0da9",708,106,0.00155425970266668,0.000420687457691318,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",""
"91","D_3__Flavobacteriales_D_4__Cryomorphaceae$6af3e3f8aa3a7b51ba203ba360a674b3",814,0,0.00155425970266668,5.15062210557432e-05,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","NS10_marine_group",""
"92","D_3__Salinisphaerales_D_4__Solimonadaceae$34a7832eda6b3f180c37171efb54cbe4",0,812,0.00155044088275841,9.59743249485897e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia",""
"93","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$bf968e6e754cd9ff9c9ed0a08760b474",808,0,0.00154280324294187,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"94","D_3__Sphingobacteriales_D_4__NS11-12_marine_group$8d642e056e17cdd3f0278eaf24b39c78",0,799,0.00152561855335464,5.43854508042009e-06,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","",""
"95","8ad45e240c96363cbfb28d169731b447$Unassigned",703,69,0.00147406448459297,NA,"Unassigned","","","","","",""
"96","D_3__Rickettsiales_D_4__SM2D12$dd2a12b4674db5cd0b9c0f11481bdeec",0,771,0.00147215507463884,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","",""
"97","D_3__Sphingomonadales_D_4__Sphingomonadaceae$40c6a36b8c40927c5389772c46e3336c",0,757,0.00144542333528093,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","",""
"98","D_3__Acidithiobacillales_D_4__Acidithiobacillaceae$142a84b0238a6ea1b4af8ff387991f75",0,732,0.00139768808642753,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Acidithiobacillales","Acidithiobacillaceae","KCM-B-112",""
"99","D_3__Flavobacteriales_D_4__Crocinitomicaceae$413836610f329c5e0cb1bc80fbd460b3",709,5,0.00136331870725308,0.00147256605912786,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",""
"100","D_3__Flavobacteriales_D_4__Cryomorphaceae$4e21c8fb033dafbbece8063bc81afb36",683,24,0.00134995283757413,0.000179471987653863,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"101","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$d36de8eed5b1161a0634da1b4811f0a6",702,0,0.00134040578780345,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",""
"102","D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$7695914c625c91237bfdb0d299b1ba85",693,0,0.00132322109821623,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",""
"103","D_3__Alteromonadales_D_4__Alteromonadaceae$e0a9760489749347ffc7e9c7a493388f",693,0,0.00132322109821623,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",""
"104","1e1c9276ed24fa749afa4f004fbefb7b$Unassigned",0,691,0.00131940227830796,NA,"Unassigned","","","","","",""
"105","D_3__Flavobacteriales_D_4__Cryomorphaceae$99dca76f2287ba3b0e6469b7b8718d1f",684,0,0.00130603640862901,9.91734691135427e-06,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","",""
"106","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$f31158977fccb64dffc9a91e53e61684",0,684,0.00130603640862901,4.15888741443889e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ramlibacter",""
"107","D_3__Flavobacteriales_D_4__Crocinitomicaceae$b0ff250ebe86db825c84279a8655dd0d",681,0,0.0013003081787666,3.64702434804641e-05,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomix",""
"108","D_3__Betaproteobacteriales_D_4__Sulfuricellaceae$c3edb20e8b2e12275b30e65dbbf5a848",0,678,0.00129457994890419,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Sulfuricellaceae","Ferritrophicum",""
"109","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$a78a13d2ad658353973a35c43e094002",0,674,0.00128694230908765,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"110","D_3__Flavobacteriales_D_4__Flavobacteriaceae$d9a152876ab4cd967249ac1d3c021d0c",602,70,0.00128312348917937,0.00192076615663778,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",""
"111","3f1f4ec189e603cf8159751c2ba1795a$Unassigned",666,0,0.00127166702945456,NA,"Unassigned","","","","","",""
"112","D_3__Cytophagales_D_4__Cyclobacteriaceae$b3bf656b002045259476cef93e27dfa0",627,17,0.00122966001046357,0.000270327681938528,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","",""
"113","D_3__Rhizobiales_D_4__Rhizobiaceae$f68bd089d7263d510be1bf81a214c9ff",594,46,0.00122202237064702,4.15888741443889e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",""
"114","8a1784f72d27a0f19c518bd54a6318cf$Unassigned",0,638,0.00121820355073875,NA,"Unassigned","","","","","",""
