"","ASV","KOSMOS.D3.control1","KOSMOS.D3.control2","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"2947","85a702064bb79550ad9dc8b585e8807b$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2948","D_3__Betaproteobacteriales_D_4__Neisseriaceae$8a3d1b7fe4869deaf64d7d6196de00d2",7,0,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","",""
"2949","D_3__Microtrichales_D_4__Ilumatobacteraceae$8b8604797dece5238e6f7ebf79dfbd46",0,7,1.33658696789518e-05,NA,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group",""
"2950","D_3__uncultured_bacterium_D_4__uncultured_bacterium$8cb81cec1d8e976767d84c0f0f995373",0,7,1.33658696789518e-05,NA,"Bacteria","Omnitrophicaeota","","","","",""
"2951","D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$8de7bc74217ba2357f6e45bcf5a09909",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","",""
"2952","92900e86b871bdbfd67090b77cc053a1$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2953","93e46e87c7109481d4ad55af8aeb44a1$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2954","D_3__Hydrogenedentiales_D_4__Hydrogenedensaceae$95a600673e399b99ac003c92deb943a5",0,7,1.33658696789518e-05,NA,"Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","",""
"2955","964d73547bf240c2dfd552c6ef345ff5$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2956","D_3__Diplorickettsiales_D_4__Diplorickettsiaceae$966091740c69164d374b9284ae0c6210",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","",""
"2957","999238434ba3d9226a0793c462ee2bfe$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2958","9a6f0fae133406e21ad552e538b78ae0$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2959","D_3__Holosporales_D_4__Holosporaceae$9dd08b5d1436374a5af0907b02562a76",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","",""
"2960","a194c90b4039d45d9d95ccea135ef724$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2961","a55b62cd3dd921cea4058b0612426706$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2962","D_3__Flavobacteriales_D_4__Flavobacteriaceae$a8ffe9b82fe998e124c0ef5feac44e46",0,7,1.33658696789518e-05,NA,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Maritimimonas",""
"2963","D_3__Caedibacterales_D_4__Caedibacteraceae$a98b33ee5d11eddcc94f2cd2afcc9213",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Candidatus_Nucleicultrix",""
"2964","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$ab27e844e7e3c537b111b13dbd55c9be",7,0,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"2965","D_3__Desulfobacterales_D_4__Desulfobacteraceae$abe15df8203cdc80f934009698229654",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","",""
"2966","ac3a90d2dfa124b3e03d724b3774346b$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2967","D_3__uncultured_bacterium_D_4__uncultured_bacterium$ad095e53da4522b16bcc18614c0e29f4",0,7,1.33658696789518e-05,NA,"Bacteria","Acidobacteria","Subgroup_17","","","",""
"2968","D_3__Opitutales_D_4__Opitutaceae$ad660857243a261b3cc45778a6238b3a",0,7,1.33658696789518e-05,NA,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",""
"2969","D_3__Caedibacterales_D_4__Caedibacteraceae$af372d06a7ccc1a6edfc61aadfdd6c7e",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales","Caedibacteraceae","Candidatus_Nucleicultrix",""
"2970","D_3__Rhizobiales_D_4__Xanthobacteraceae$af8acd827a3b5b7402237beb631eb572",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","",""
"2971","D_3__Verrucomicrobiales_D_4__DEV007$afbb1f8e066a5d4676c3a35627081aa9",0,7,1.33658696789518e-05,NA,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","DEV007","",""
"2972","b10873260c38770dc094b29d98f4ac62$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2973","b1c4f3b6d7ea7b01c921a08c35898388$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2974","D_3__Myxococcales_D_4__mle1-27$b33e8239f61e08b1f52b48b7b2b94872",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","",""
"2975","b37546a5f5d8942e2445bc3f42f3c292$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2976","b37d7eab5be1f3a4243a237efc946d38$Unassigned",0,7,1.33658696789518e-05,NA,"Unassigned","","","","","",""
"2977","D_3__Myxococcales_D_4__BIrii41$b4c1c2ef1397f73a0953d6201b36002c",0,7,1.33658696789518e-05,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","BIrii41","",""
