#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Rhodobacterales_D_4__Rhodobacteraceae$fe83957ee5a791f3e51c5c1eb645b321	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Lentibacter	
D_3__Actinomarinales_D_4__Actinomarinaceae$f2a439ca0445443ee2ce5234c4bac662	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$e0a30eb37551974410bef88d4a1719fd	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group	
D_3__SAR86_clade_D_4__uncultured_marine_bacterium$8a2c5d64bae17284ddd2c3ef8017ab10	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade			
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe5f4c41ca2a48060b0868c63f4da1f9	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$a19af3f1666d108af03e5f7399a59c39	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
ec69e4a2fa57ecb7e50cf2e897b37a8e$Unassigned	Unassigned						
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$ea893c36ce0d2ea74f5d7f174f4b85ea	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$83b71a0936aaf776a3979b868595a01d	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Undibacterium	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$064551f616721d5fca7976a44460fc14	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Alteromonadales_D_4__Alteromonadaceae$73af9ec78d02cdddfa21e84f39f894f8	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e142e2be14bff9b37f01d183acf8ff62	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	
D_3__Oceanospirillales_D_4__Saccharospirillaceae$5fddd1f6585d9c9f1de4b49ed04d6bd8	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae		
D_3__Cellvibrionales_D_4__Spongiibacteraceae$c85e8846f15debfb13303e3600cd40d4	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae		
D_3__Verrucomicrobiales_D_4__Rubritaleaceae$5dc2bb3754e1c66b863e3c3586686153	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	
$0a9911c91f618669941dd13da50f36e4	Bacteria	Marinimicrobia_(SAR406_clade)					
D_3__Opitutales_D_4__Puniceicoccaceae$5380ec19d3b58762d6387c401fd8de1b	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Coraliomargarita	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bbb08c40fc9724ebcb5f877dc9c9c61d	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$06776824064cb2822160cc0888df51fd	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12_marine_group		
D_3__Betaproteobacteriales_D_4__Methylophilaceae$a3fe1a9d2afa1cf084a014bfbb7f6bf8	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	OM43_clade	
D_3__Flavobacteriales_D_4__Cryomorphaceae$e43807d268d7bb99de566c4685140b0b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
D_3__SAR11_clade_D_4__Clade_I$0c9a8dc81a591a5942872618d800b2b0	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fd50ede414fb9b412eb81ec48c94f574	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	
D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7fd6e44270b4a36d3e28b37bc563dd7a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Thiomicrospirales_D_4__Thioglobaceae$d0ebcef50cedc50097956484ba3b9fb6	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster	
D_3__Puniceispirillales_D_4__SAR116_clade$f29545de7bf83891da9d1c89b2e0675d	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e54914e1b614e928466a259407d36532	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
