#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bbb08c40fc9724ebcb5f877dc9c9c61d	595	950	451	443	222	745	1098	1099
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$06776824064cb2822160cc0888df51fd	108	211	331	261	250	248	433	108
D_3__Betaproteobacteriales_D_4__Methylophilaceae$a3fe1a9d2afa1cf084a014bfbb7f6bf8	380	547	513	826	431	502	815	633
D_3__Flavobacteriales_D_4__Cryomorphaceae$e43807d268d7bb99de566c4685140b0b	498	326	3402	907	540	1841	589	1186
D_3__SAR11_clade_D_4__Clade_I$0c9a8dc81a591a5942872618d800b2b0	945	1259	1089	1345	643	631	837	1646
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fd50ede414fb9b412eb81ec48c94f574	695	1110	690	1644	1324	2377	1515	791
D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3	0	105	49	238	33	76	31	15
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7fd6e44270b4a36d3e28b37bc563dd7a	488	219	311	187	66	188	190	305
D_3__Thiomicrospirales_D_4__Thioglobaceae$d0ebcef50cedc50097956484ba3b9fb6	361	976	394	643	225	1190	2634	1991
D_3__Puniceispirillales_D_4__SAR116_clade$f29545de7bf83891da9d1c89b2e0675d	173	193	518	276	481	750	533	160
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e54914e1b614e928466a259407d36532	156	64	715	347	13	56	12	10
ddc47ace3935a3196f1c83e29b916812$Unassigned	424	49	83	65	19	118	164	193
b054c334dedcfeff525005a03333e0c5$Unassigned	0	91	35	732	42	54	77	4
D_3__Sphingomonadales_D_4__Sphingomonadaceae$9c3e648927a2024eec07e27b3a3e2393	0	65	43	8	10	42	5	12
D_3__Flavobacteriales_D_4__Cryomorphaceae$486ad728b6e1331ad96dbed64701be9b	479	279	1996	550	410	1732	961	781
D_3__Flavobacteriales_D_4__Crocinitomicaceae$350e1f9238dd5bce5236dba4bb54df38	571	66	133	210	116	72	61	625
D_3__Synechococcales_D_4__Cyanobiaceae$b2c4f9c1885b68975043b0cddc5b94f5	2442	580	197	285	685	215	188	416
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f836e78a00d45f7e7f238458f39f3185	103	102	15	8	13	0	0	85
D_3__Rhodobacterales_D_4__Rhodobacteraceae$b46f8d5891ab1ed123fa3f597ae9f36c	0	0	0	14	13	0	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$60c7e634299f7600b52e6fc1dee00fec	1742	68	833	386	33	1463	907	270
D_3__Actinomarinales_D_4__Actinomarinaceae$647bae126bf01b7aec76872b6f2ab44b	1585	2313	510	325	190	174	85	1601
D_3__Rhizobiales_D_4__Rhizobiaceae$580f47a9e948218fd800fc2937720eea	0	0	0	8	34	17	11	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$4d5eb8e3ba56f0cb9945455d08ae0a60	76	263	221	248	34	188	115	46
D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501	2862	381	1466	190	23	194	119	154
D_3__Synechococcales_D_4__Cyanobiaceae$8faa91e7766e3e88b6eba33f49a6a3de	2340	390	145	276	352	216	145	342
D_3__Rhodobacterales_D_4__Rhodobacteraceae$e69263d54352749060fae5725791bfc6	542	848	993	296	729	1079	595	577
$c59e12d055d861494ffd6d6fad1ba491	1251	1507	445	527	772	350	337	1547
D_3__Flavobacteriales_D_4__Flavobacteriaceae$947b4bfd7550cd6347ed7ca543924c2f	61	43	62	59	23	40	64	91
D_3__Flavobacteriales_D_4__Flavobacteriaceae$88b670b797a0d804d7cdc822066119b4	0	253	0	0	51	371	191	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$4d660ac7dcf39f26db683d2310fca01d	0	103	6228	1230	129	218	70	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$02ebc9e2294109abe2666165e6007aa4	0	0	0	0	2	0	0	117
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bb7f55b1c5aa1a254fff3b5168f98e7e	18	164	75	125	175	638	162	26
D_3__Oceanospirillales_D_4__Litoricolaceae$3a85b5736cfb89c413cb6dcfc16c5acc	118	198	363	97	133	57	277	323
