#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
61a30a195aa50828309cd6a42dd81d6e	0	0	0	7	0	0	0	0
2d3a26b959c51d33494ae3006c1890bd	0	0	0	0	0	0	138	0
6b82949db47d8b448fa5a82d1ac79936	0	0	0	136	0	0	0	0
fb0e7d7d6eb417d326f5a4f47e284465	17	39	55	0	0	0	0	20
606fd5f3c90d426dbb74c454442ddd4e	47	0	0	35	0	0	0	0
b16c047ba04a60bde71f537a09c62d3c	0	6	0	18	0	98	4	4
64eb8580f35a7ef73a87fa5a1a0aa95d	27	2	3	20	0	0	0	0
6b4775f85836dc47570daebcbd3429b2	40	0	5	0	0	11	0	4
732c5a5744d4481a5a19b2663cefc6ae	8	0	0	98	0	0	5	0
baa5448d80db84deef60639a48f2945a	0	28	0	0	0	0	88	0
e55a78a1c8062a8044c653d07dbd915a	31	8	0	10	0	25	0	0
e514e47bcd137145382ab4709d16b7a2	0	0	0	0	0	76	33	0
fa633eb2208ad0b9211b90e1da630ec7	0	3	42	5	0	0	0	10
3e50e77a8bb07cac6bf4c6623f5d185e	0	0	0	6	17	43	34	0
5e23e4e1f8a41d2d7d0d6439cde2a766	13	0	39	0	0	0	0	3
40450b44940c08498a7bf2d3ff47a849	27	0	40	0	8	0	0	0
0e2aa104e4ada9abaa8094203d4c9e9c	8	0	0	8	0	0	0	0
bdc617824c81aad4c3e31b549d222b80	6	0	14	0	0	0	0	0
b3e3bf49951fd57fef9a0712bdcedb5a	0	0	12	0	0	0	0	9
2cb58e389011372307a5affb4eb87e3b	0	0	6	10	0	0	0	0
8727190c50d0303c63de28feafd1ab3e	0	0	0	85	0	0	0	0
fe54a6b3853a4ba111acf8886bee63ae	18	6	0	0	0	8	13	0
fa77c54aa003bb04df29a4985077ee61	3	4	18	19	0	9	15	0
178f2b30b80c8008b3f17bfc73d0810f	0	0	11	63	0	0	0	0
6aefa26af43d40a8162db6f7695c1152	0	0	0	0	0	7	72	0
219828c904ec5c4c164cb82f0183769d	0	0	0	0	0	43	29	0
3d2a21690df214f790747c23c7f50a13	33	0	11	15	0	0	0	0
97e8b13f22527b063865cbdf15a7fa59	16	0	0	45	0	0	0	0
3e3643b6e0f842f3f69a596a42bd32c2	0	0	0	75	0	0	0	0
b4ec7581fa901b664e01f6675f340ba2	0	0	53	0	0	0	0	0
bc1819f4c88904f014d0865c0a09c8ec	0	0	0	0	0	13	0	0
af5fe6cf3758537a4a88e804eed97cbf	0	0	0	11	0	44	16	0
5ac9e1e1f137a918ebee250fbe0d856a	0	0	15	41	14	0	0	0
836c8649bf9c3e71c1fecea4f98ece34	0	0	0	5	0	15	12	0
9ce5610a06f1105885cf685ed73f5a73	9	0	0	0	0	0	60	0
22f0e8a61441d36d0727b04f15253ab0	0	0	0	28	0	0	0	0
8751e2920100fe9f560be4345ab4c8f8	9	11	0	3	0	9	9	0
9eb750f3e4804bdff6cc665113bdd039	0	0	0	0	0	0	0	11
fc253b74f104e63cb6a394122ab281a4	0	0	9	55	0	0	0	0
a3e34c2f2e7f82059db4c692a3a00005	0	0	20	15	0	0	0	0
07be4271cb7f8a8b37e63efe6b39d245	0	0	0	0	0	0	59	0
4244586faf3a126030cffb1edd2f4596	30	0	24	0	0	0	0	0
c250a4a4c9c26bc3252480bbfa1dc2e9	0	5	11	0	0	8	0	0
8a6c94726c0780da709f413ba6a92c91	17	0	0	0	0	0	0	8
3e9ecb1735f5d68b8fe25e8346e8f6c6	0	0	0	0	0	24	25	0
