#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
4912ee68947e8529e2eac96d81f4e26a	Unassigned						NA			
35c96737e44f9a025c844504c09521e6	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
315d2dab44d975c2d7adef16cd6226f8	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
bda174380b89c8dafb8a61126ad57210	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
8b1ca5c7eda7f9278a28edd834c461be	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
35c7ac712d7bfb9eded614644fdd5eab	Eukaryota	Stramenopiles	Ochrophyta				NA			
7ef9ef0f1d7fc89f3fa1d17d92b4e6d8	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
4b45e0fc6276ae0245aea2cf6c2de70e	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA	Chrysochromulinaceae		
20d8843bf7213e7bf6592cdb191a9e96	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
e6794d71335fe9c08483e2d87506ab80	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
9ca3ba7165b71dfa75647c347b1aa034	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
92c99a76c83d47c4ed1259c807985355	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA	Skeletonemataceae		
ab985cf0ad0420c1a343fbc97ce8f698	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
b3e163b6fe9838157f405611dc3e693f	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
20d526a736412cffe5fdea0f89b3fbcb	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
1f97c47d5e820df62d738ab6e2bc2790	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
42624d4c60b33699c28a95ca27129319	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae		Prasiolales	NA	Koliellaceae		
5ea3446ef0c2b0746d9845a861d8487d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
b312a1d9d769c6da59c68893ee7c4582	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
a907c242383e2c256496dd4a09417c6e	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae		Mamiellales	NA	Mamiellaceae		
2cf85d07a8ecd3fb2b87a9f36708260b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae	Cymbellales	NA	Cymbellaceae		
f19d778b495d614ed62c00879047c35c	Eukaryota	Archaeplastida					NA			
e6c77b73bb9e88d9d505d71f517486dc	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
9af2e51388a124d362e7cb1c9f80082b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
c02dd57b6285f6a863ea557a201db5e9	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
044bad6668bf3ca9bd869761852eb7b6	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
81b4121f59c48cb7a4783b721f01920e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
65cb02d6dfe193018ea4604eb380eaff	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
c979da06b859784bf58df00a55ccc8fb	Eukaryota	Archaeplastida	Streptophyta	Embryophyceae			NA			
a8d86f936536d5e55ecaec83a1c465f8	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
e91fabdf7e0a93eb957c2c4e9e764ae2	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae		Prymnesiales	NA			
1d9216ecc0bd433058261a3b94839d99	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
bd18627a36c643dd24bf4746d4663950	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
a2d4d91180c2d5c66cf5be3a84162b45	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
902b23c26b7ad907add59feda1a30428	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
