#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bbb08c40fc9724ebcb5f877dc9c9c61d	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	
D_3__Sphingobacteriales_D_4__NS11-12_marine_group$06776824064cb2822160cc0888df51fd	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	NS11-12_marine_group		
D_3__Betaproteobacteriales_D_4__Methylophilaceae$a3fe1a9d2afa1cf084a014bfbb7f6bf8	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	OM43_clade	
D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	
D_3__Puniceispirillales_D_4__SAR116_clade$f29545de7bf83891da9d1c89b2e0675d	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade		
D_3__Flavobacteriales_D_4__Crocinitomicaceae$350e1f9238dd5bce5236dba4bb54df38	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f836e78a00d45f7e7f238458f39f3185	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
D_3__Chitinophagales_D_4__Saprospiraceae$60c7e634299f7600b52e6fc1dee00fec	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
D_3__Rhizobiales_D_4__Rhizobiaceae$580f47a9e948218fd800fc2937720eea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Lentilitoribacter	
D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	
$c59e12d055d861494ffd6d6fad1ba491	Bacteria	Marinimicrobia_(SAR406_clade)					
D_3__Flavobacteriales_D_4__Flavobacteriaceae$947b4bfd7550cd6347ed7ca543924c2f	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutimonas	
D_3__Sphingomonadales_D_4__Sphingomonadaceae$4d660ac7dcf39f26db683d2310fca01d	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
D_3__Oceanospirillales_D_4__Litoricolaceae$3a85b5736cfb89c413cb6dcfc16c5acc	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4adf38bdf97f67f6c0205656de99b72	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter_3	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7e04a3c2a5251dea326d371a02b674e3	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	
D_3__Pseudomonadales_D_4__Moraxellaceae$4897fa9c5685d6c8f0ac86f531cf84d3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$629b14176131f1cd9c3425df5a1da0fe	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	
D_3__Cellvibrionales_D_4__Halieaceae$82b64eb463c416cabd5ceae001244f43	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
D_3__Sphingomonadales_D_4__Sphingomonadaceae$b8c8305231a3ef671d95072c180fdf97	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Herbaspirillum	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$5a1835cd9ff41a02570aff164c19c7a8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	
D_3__Nitrospinales_D_4__Nitrospinaceae$f95b8514cb06df776c13f10d2022759d	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
D_3__SAR11_clade_D_4__Clade_II$b36b27a154d85cc300f0a1309e9534d5	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_II		
D_3__Flavobacteriales_D_4__NS9_marine_group$69dfae1be25dc470c35ca5d85dd53f94	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$34538ec193c0d16e24a471285d720f05	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
D_3__Flavobacteriales_D_4__NS7_marine_group$42037215dd97865bd8d857b6a2d97dc8	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS7_marine_group		
D_3__Synechococcales_D_4__Cyanobiaceae$d702f8824185524798e6fd644b0743a4	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313	
D_3__Nitrosococcales_D_4__Methylophagaceae$380e00c956b387490d0d22cf7e654f7a	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Methylophagaceae		
D_3__Phycisphaerales_D_4__Phycisphaeraceae$aadbfa4b0e9c63ac92ca592fde1c054c	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	
D_3__Rhodothermales_D_4__Rhodothermaceae$e09a56fd2063b4e22396d74ecc319cd8	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae		
D_3__PeM15$a51561d95d7a240b83bc0d94cc628c48	Bacteria	Actinobacteria	Actinobacteria	PeM15			
D_3__Micrococcales_D_4__Microbacteriaceae$057db92f77a9906591e6f823afdc74fc	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus_Aquiluna	
