#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Puniceispirillales_D_4__SAR116_clade$f29545de7bf83891da9d1c89b2e0675d	3082	2123	7036	2435	8381	2326	4031	1797	3938	2259	5035	1817	3115	2368	2354	2136
D_3__Flavobacteriales_D_4__Crocinitomicaceae$350e1f9238dd5bce5236dba4bb54df38	1468	1824	710	4245	11027	1411	4251	6495	2370	4479	2104	2623	5346	3882	736	2207
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f836e78a00d45f7e7f238458f39f3185	1192	1230	328	926	252	1659	353	422	682	364	624	819	8281	1185	411	1664
D_3__Chitinophagales_D_4__Saprospiraceae$60c7e634299f7600b52e6fc1dee00fec	4227	1858	222	205	562	1126	452	680	341	164	69	2138	2591	1695	123	454
D_3__Rhizobiales_D_4__Rhizobiaceae$580f47a9e948218fd800fc2937720eea	0	0	7	4	59	0	265	8	1165	37	7329	24	1419	11	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$003a3dfc759cdc2e62d7bdb3e0b5a501	3091	4010	193	521	23	2011	43	348	85	37	6	338	324	325	110	502
$c59e12d055d861494ffd6d6fad1ba491	3805	2413	223	3229	13	693	49	1965	33	1371	0	1263	0	1773	164	5793
D_3__Flavobacteriales_D_4__Flavobacteriaceae$947b4bfd7550cd6347ed7ca543924c2f	29	61	62	54	109	84	3146	59	3522	29	914	56	415	82	90	96
D_3__Sphingomonadales_D_4__Sphingomonadaceae$4d660ac7dcf39f26db683d2310fca01d	0	3	149	123	344	7375	794	1944	413	211	112	351	121	208	15	0
D_3__Oceanospirillales_D_4__Litoricolaceae$3a85b5736cfb89c413cb6dcfc16c5acc	168	118	213	232	740	394	889	97	1579	145	2745	57	1456	305	34	351
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4adf38bdf97f67f6c0205656de99b72	63	51	344	126	845	233	441	2511	1951	1415	571	2563	396	1076	2144	60
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7e04a3c2a5251dea326d371a02b674e3	78	93	116	221	15	269	1972	455	2858	232	1443	343	264	473	10	330
D_3__Pseudomonadales_D_4__Moraxellaceae$4897fa9c5685d6c8f0ac86f531cf84d3	0	0	1232	531	1177	11038	1033	2098	296	176	54	278	110	83	35	268
D_3__Flavobacteriales_D_4__Flavobacteriaceae$629b14176131f1cd9c3425df5a1da0fe	135	79	174	162	0	3441	0	707	2	211	0	447	0	293	2656	324
D_3__Cellvibrionales_D_4__Halieaceae$82b64eb463c416cabd5ceae001244f43	2901	2453	2451	2848	5279	2833	2060	2816	1701	2664	1258	2667	991	2456	2068	2642
