#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__Salinisphaerales_D_4__Solimonadaceae$c9c6324382f4447a0ce69b664ccd4ea6	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
D_3__Rhodospirillales_D_4__Terasakiellaceae$916595eb32b4106bf04e8bfbe63fcb3a	0	0	12	13	8	57	195	13	142	5	25	19	921	3	309	3
D_3__Flavobacteriales_D_4__Flavobacteriaceae$f4b17dddd50ede8de50970bc7e6574c0	0	0	7	0	48	700	25	36	52	7	17	80	14	20	4	0
D_3__uncultured_Ambiguous_taxa$a310f4ec6d3ffeaa3834189da6af043c	158	109	23	181	54	99	13	513	12	150	0	175	0	218	3	656
D_3__SAR202_clade$d692dfcf5f44becf871006b175103315	25	54	3	51	0	21	0	572	0	104	0	143	0	147	0	288
D_3__Paracaedibacterales_D_4__Paracaedibacteraceae$bb886a976b93922b39095184d0b6eee4	0	0	0	9	0	597	561	0	4	71	60	138	19	3	0	0
D_3__Propionibacteriales_D_4__Propionibacteriaceae$d249b08cbd71284b3b379ef08c8745c7	13	37	135	49	85	36	104	52	7	24	0	42	39	31	115	16
D_3__Alteromonadales_D_4__Marinobacteraceae$d1f93de4fb16a3c51c3cbaf743da073d	0	0	0	0	9	629	40	6	9	0	22	30	7	11	16	0
D_3__Alteromonadales_D_4__Alteromonadaceae$300acffc97f5c50f055fba153b5bb67e	0	0	0	0	2	56	0	22	0	0	3	20	1437	108	0	19
D_3__Pirellulales_D_4__Pirellulaceae$bc99f861de7c5e07ccfa85c98d40dc70	115	108	199	77	54	33	125	511	0	111	7	113	6	127	12	162
D_3__KI89A_clade$fe7421b1a31d6cba071d6804fba2af1d	117	60	0	190	0	252	0	108	0	191	0	97	0	120	0	152
D_3__SAR11_clade_D_4__Clade_I$27046de805c380d0fccbdc8cb67b3ce3	41	13	0	74	0	47	0	158	0	27	0	280	0	196	0	161
D_3__Alteromonadales_D_4__Pseudoalteromonadaceae$d84626333670da3fc84fc41b669ebffd	3	7	51	108	9	1008	4	169	4	0	27	138	4	57	65	14
D_3__Micrococcales_D_4__Microbacteriaceae$7103fccd752bb0fb088976b2daba86c9	184	163	10	70	0	33	0	0	0	0	0	0	0	0	0	178
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$f31158977fccb64dffc9a91e53e61684	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0
D_3__Alteromonadales_D_4__Idiomarinaceae$8cbc38e383f7561b3330ba05c496309a	0	0	0	0	5	1000	20	0	8	0	9	18	5	18	18	0
D_3__Synechococcales_D_4__Cyanobiaceae$cf627b031699e77a69a5cb3884b91ba4	277	197	0	47	35	23	11	22	0	20	0	0	0	0	24	29
D_3__Alteromonadales_D_4__Alteromonadaceae$34e6263f3f022a9145e899c4d7af6b29	0	0	24	0	89	23	402	5	56	7	5	46	68	23	0	0
D_3__Candidatus_Pacebacteria$9e784760c2be2c7438540cbe1ae75889	2	6	0	0	0	11	9	18	65	33	68	16	636	29	0	0
D_3__Opitutales_D_4__Opitutaceae$bf2c9a51dd8b92ba038ad015c9b59145	99	65	32	81	120	35	10	23	16	123	0	13	0	0	6	31
D_3__Balneolales_D_4__Balneolaceae$9533181a399cd388620e7ef61b19e6ff	0	0	0	0	0	0	556	0	0	0	0	49	0	44	0	0
D_3__Rickettsiales_D_4__AB1$c3e90b75d5d1c3659d9d216fdd6d8b8c	0	7	0	177	0	79	68	11	127	32	64	76	0	110	0	84
D_3__Cellvibrionales_D_4__Spongiibacteraceae$2739e068eef5ade1afceb5220b1d3e54	66	41	115	36	123	106	33	13	31	13	11	39	163	62	123	101
D_3__Nitrosococcales_D_4__Methylophagaceae$c217d44a5f53b20cc7f843c828e9bb93	0	0	192	0	255	0	63	0	24	0	30	0	25	0	35	0
D_3__Arctic97B-4_marine_group$c9873bc5bb0bbb69ddee8ae89f420ead	2	0	12	14	14	0	0	220	0	25	12	143	0	80	0	219
D_3__Gammaproteobacteria_Incertae_Sedis_D_4__Unknown_Family$ddd59e982d556c787bc072db2b005e07	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$a50e9c0b5d6216a4fcf51922e623348d	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	15
D_3__Puniceispirillales_D_4__uncultured$6553c7c0e78fa1c254fe1dfc7b483696	65	38	148	34	417	45	22	242	0	31	0	8	0	15	16	98
D_3__Corynebacteriales_D_4__Nocardiaceae$9030f9cb8e9f59d662fdb614a0c2fe85	0	0	0	0	0	59	11	420	0	0	110	0	0	4	0	0
D_3__Nitrospinales_D_4__Nitrospinaceae$1869fc25845d1b7442b3dec0ee4733e3	28	16	7	28	0	7	0	1645	0	263	4	188	0	231	3	222
D_3__Caulobacterales_D_4__Hyphomonadaceae$30954b57829b486ba97e71689ec72636	96	38	12	17	0	26	24	16	29	25	25	189	38	134	11	122
D_3__Phycisphaerales_D_4__Phycisphaeraceae$f595873b8983448615f3503b6cc00874	4	5	27	12	5	2	3	62	0	7	0	20	0	14	0	43
D_3__Francisellales_D_4__Francisellaceae$b7d88911623b598899a252afb01dbb79	146	32	0	322	4	175	12	38	0	79	3	83	22	50	19	497
D_3__Fusobacteriales_D_4__Fusobacteriaceae$5b2adceea37c58395d0f2de0d97d2892	0	0	0	0	5	14	0	5	0	0	0	0	4	5	0	7
D_3__Thiotrichales_D_4__Thiotrichaceae$ab0b9c305df2a8f3ac17008ff2bbcd5c	88	45	2	53	0	73	0	141	0	71	2	46	0	63	0	87
D_3__Sphingomonadales_D_4__Sphingomonadaceae$f0610d0e6b34a40cb0bf6f32bfb2a3d5	0	0	0	0	12	0	8	0	0	0	0	0	0	0	0	0
D_3__SAR11_clade_D_4__Clade_IV$50611fd6518dcced60b0196126220ac0	422	199	8	102	0	59	0	97	0	21	0	62	0	59	0	64
D_3__Microtrichales_D_4__Ilumatobacteraceae$b9dcb3aa8ec16a4b1adae5240084ee2e	62	42	293	84	75	37	46	60	11	19	0	28	0	24	116	31
$9f436fca5e2a2d637a6754c378230fc8	82	116	357	50	44	47	42	333	17	65	0	252	2	170	76	78
D_3__Micavibrionales_D_4__Micavibrionaceae$b0f750318802b26251b740a62b560621	0	0	22	0	154	9	342	19	170	6	80	29	91	31	0	0
D_3__Rickettsiales_D_4__Midichloriaceae$2f62447c88882d189eb38ebc71f0987e	21	5	8	43	59	40	193	36	51	112	42	24	36	26	36	7
D_3__Vibrionales_D_4__Vibrionaceae$f770b3eb49940d6efec12dcd3e09e4cf	51	40	105	62	684	436	145	172	78	142	23	199	7	132	308	62
D_3__Rhodobacterales_D_4__Rhodobacteraceae$50eaa1af54115f761ccc69e794d3e306	23	19	0	18	0	93	74	26	33	0	0	0	0	0	23	11
D_3__SBR1031_D_4__A4b$c5c1c516ae5af4576c12ec44a1452c88	121	60	0	42	0	98	4	40	2	9	0	48	13	49	11	16
D_3__Dadabacteriales$535eaa130f34e5b223e8359b4d884db2	119	25	3	104	0	24	2	118	0	23	0	19	0	23	4	159
D_3__Sphingomonadales_D_4__Sphingomonadaceae$ca098d75c1a2b4e73846a273d0e5f87b	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0
D_3__Saccharimonadales_D_4__Saccharimonadaceae$eb0365f69146b2a8501645a6aa44f699	0	0	0	0	0	0	0	0	0	0	2	454	16	29	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$00dfbac11f7851230055547d76d5c0f6	12	24	7	13	0	43	90	30	13	16	0	64	34	61	14	12
D_3__Pirellulales_D_4__Pirellulaceae$c805c1f27d9d1deb79beac39671fca25	0	8	12	11	0	0	0	6	0	9	0	8	2	5	0	59
D_3__Candidatus_Campbellbacteria_D_4__metagenome$220a4f9c73715b095a2735ead00d3649	15	14	95	18	20	0	16	20	3	6	4	5	0	30	0	113
D_3__Anaerolineales_D_4__Anaerolineaceae$4bef788043c7ac7ad7307a61c0feefd7	0	0	30	5	0	0	65	14	37	37	10	0	235	6	0	5
D_3__PB19_D_4__uncultured_bacterium$be943e58989d5d856974605d7819cc1f	275	157	22	403	0	216	9	451	0	57	0	71	59	150	0	674
D_3__Oceanospirillales_D_4__Halomonadaceae$12619c032f48e8ad9df844ad5f45fb96	0	0	0	11	20	931	56	42	37	0	16	10	43	3	42	0
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$6c60b4fa4ddfec79290794264aa5e77e	0	0	7	0	67	5	223	35	12	4	0	10	17	0	0	4
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$6841a34d5138f54546195f33035b2316	259	136	16	99	70	57	0	30	3	130	0	13	0	84	0	129
D_3__Bacillales_D_4__Bacillaceae$805f3a79f20f9df658c5ebc5e01316c7	0	0	3	0	0	0	0	8	0	0	0	0	12	0	2	0
D_3__Bradymonadales_D_4__uncultured_bacterium$20656ac649078368c0acefc3ff93dd9f	59	62	5	0	0	21	117	244	18	23	71	147	7	51	26	19
D_3__Bacteroidales_D_4__Marinifilaceae$3335171d140957f914d8625f00dd6f65	0	0	0	9	0	5	367	6	245	0	31	0	55	0	0	0
D_3__uncultured_bacterium_D_4__uncultured_bacterium$b6ddcb9ac6304e050e550a5528e0510e	0	0	271	79	45	604	3	5	36	4	7	0	0	0	0	0
D_3__Bdellovibrionales_D_4__Bacteriovoracaceae$f5ac35e01f7c9b9da253c54869752b19	16	12	6	0	6	10	89	136	56	12	6	13	0	62	5	113
D_3__Flavobacteriales_D_4__Crocinitomicaceae$569d41812abc3f953164e0f152fd1b06	106	44	0	33	0	13	0	4	0	4	0	5	0	0	0	49
D_3__Kiritimatiellales_D_4__Kiritimatiellaceae$bd67a3f830455d62269ad4f9f709c1e1	0	0	0	0	0	0	10	26	79	9	84	2	461	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$f8c0646ef624b6fc9db89e95b7d9b6b8	0	0	0	0	0	8	0	78	0	28	23	206	6	42	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$0d39985e86f7cecd04ff8e737279f494	0	0	0	0	2	6	24	0	0	0	6	4	58	3	4	0
D_3__Legionellales_D_4__Legionellaceae$8664447ca354531205ba29d77bdad0dd	42	42	14	29	3	65	3	8	0	0	0	0	0	0	2	82
D_3__Corynebacteriales_D_4__Nocardiaceae$4dbaa019f32ba0cd4ea1eef6049329bf	0	0	0	3	4	41	0	81	15	13	52	183	180	80	0	0
D_3__Legionellales_D_4__Legionellaceae$8392bfb476cdd5bd13c60470880254b2	0	8	50	4	56	35	119	5	15	9	17	5	18	10	76	0
D_3__Rhizobiales_D_4__Rhizobiaceae$d77e839293b69e723706342c17cb62dd	0	0	0	0	0	0	195	0	111	0	54	0	52	0	0	0
D_3__Kordiimonadales_D_4__uncultured$7cf261468670bdbcd59945f4e596af85	30	34	94	26	50	0	0	17	0	16	0	8	27	0	11	60
D_3__Balneolales_D_4__Balneolaceae$b13abad8ec2d2ebb3fdf99c8048245b7	0	0	0	5	0	0	226	0	0	0	0	79	6	49	0	0
D_3__Rhodospirillales_D_4__uncultured$aec94d5fd98fd4d1be5eea3dc453f26b	0	0	0	0	0	0	8	37	0	0	41	20	18	4	0	3
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$bf9e5fc7191b579948c0f781ed5aaea0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	180
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$57e38c79df4944c840c32ba7ac17b724	0	0	0	0	22	0	31	495	33	14	24	172	73	43	0	0
D_3__Rickettsiales_D_4__Rickettsiaceae$c14f5a0d37915af3dc0d3cf8c996849a	36	22	64	51	0	59	18	78	0	17	0	38	0	47	5	61
D_3__Salinisphaerales_D_4__Salinisphaeraceae$02aaba5951d549f125d1025bea8abe02	0	0	0	0	0	5	196	4	18	0	0	125	22	53	0	0
D_3__Oceanospirillales_D_4__Oleiphilaceae$aab0041e5a65b71810103794b78f7ed7	17	2	210	7	146	23	40	36	53	0	36	45	36	36	69	7
D_3__Izimaplasmatales_D_4__Izimaplasmataceae$b80109fe95d2150d2035f9849ec20c7c	23	18	0	13	0	6	389	40	73	4	0	5	0	8	0	23
D_3__Phycisphaerales_D_4__Phycisphaeraceae$874f69b52027238c08a7cf7adfcebccd	0	4	32	11	0	0	0	15	0	0	0	16	0	32	0	172
D_3__Cytophagales_D_4__Cyclobacteriaceae$b962b44de15e204a6fb14ed4f528d4a2	0	0	0	0	0	0	3	19	0	8	0	215	7	35	0	16
$97b6131dae7f9bc6fa381cc7fc1f0510	73	34	130	77	5	18	0	126	0	11	0	24	4	12	79	37
D_3__Micrococcales_D_4__Microbacteriaceae$09fabd4804530767d5f087a924993995	63	62	0	41	0	42	13	8	0	16	0	5	0	9	3	30
$488721dd107c76d5472d37be7b12586f	21	14	14	0	234	0	49	0	0	0	0	0	0	0	0	0
D_3__Betaproteobacteriales_D_4__Rhodocyclaceae$c6875af3c16942bc5581d6b85204a10c	0	0	0	0	0	0	0	0	0	0	0	51	9	86	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$ef6f38e83a282e8d08cfd52c9c4e2a3a	0	0	8	0	0	130	7	46	7	0	56	24	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$14801a8cadbf0340d321000bcd2fa3a3	0	0	110	0	97	104	57	0	16	0	12	7	22	13	69	5
D_3__Chitinophagales_D_4__Saprospiraceae$7c81ffa1f104ae1e1e52420471756ea3	112	50	97	12	0	27	3	136	6	51	0	126	0	27	86	37
D_3__Steroidobacterales_D_4__Woeseiaceae$5f7fac202b171c2ff4974fb7d9148f15	24	18	12	46	0	25	0	199	2	33	0	67	0	90	7	106
D_3__uncultured_bacterium_D_4__uncultured_bacterium$434a8f5b05356998e16cb66a6e0bad75	0	13	3	11	0	7	0	98	0	19	0	66	0	20	0	16
D_3__Micavibrionales_D_4__uncultured$37244a2e2203796ad0206a7db04f94dd	0	0	6	0	33	0	217	2	101	6	47	53	30	23	8	0
D_3__Oceanospirillales_D_4__Halomonadaceae$6952b8e3937f5f0a0593fe75537d07cd	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0
D_3__Sphingomonadales_D_4__Sphingomonadaceae$25d77b8ca0896d2af3cb80907d264a64	4	0	0	13	10	28	24	241	10	11	17	67	14	20	0	0
D_3__Arenicellales_D_4__Arenicellaceae$e1a914386cef81dceeb28f443412e160	0	0	0	0	0	0	0	46	0	108	0	50	0	40	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$459f690f22a2ea2df9b765a78fe7b8f3	57	47	15	5	49	9	0	10	0	0	11	11	2	3	65	0
D_3__Desulfobacterales_D_4__Desulfobacteraceae$ba0a12ec3fe0aadd6065995f6e26aa04	4	0	37	2	0	0	350	0	378	8	16	0	82	0	0	5
D_3__Puniceispirillales_D_4__EF100-94H03$15abe67b3e700f97befde14b59df5406	17	32	17	20	17	4	3	15	0	7	0	0	0	5	0	55
D_3__Methylococcales_D_4__Cycloclasticaceae$4299b1acda53689768bc1af065ffc99c	0	0	185	0	7	0	4	0	0	0	0	0	0	0	0	0
$4f27774e266bf310605968be29c53e4a	7	19	19	19	0	2	9	97	24	18	45	169	20	119	5	45
D_3__metagenome_D_4__metagenome$0dfb89c314ac13fde9579c42ae7b9bf5	79	89	19	71	0	0	0	7	0	13	0	12	0	31	8	31
D_3__Thiomicrospirales_D_4__Thiomicrospiraceae$57fb8c7460710ad8baf82bde04f06761	0	6	0	10	0	6	0	7	0	3	0	8	0	11	0	36
D_3__Caulobacterales_D_4__Hyphomonadaceae$05a379944c1f1e99ea9df59e1c8529bd	0	0	0	0	7	177	24	19	12	0	0	9	0	12	0	0
D_3__Flavobacteriales_D_4__Flavobacteriaceae$d5a47760e98d10014ec499506b0f655c	0	6	8	4	44	39	199	11	0	9	4	27	60	4	17	9
D_3__Opitutales_D_4__Puniceicoccaceae$ca9992311ea1d0119e0458b3ec2b9c78	93	30	15	0	33	2	45	0	3	2	0	4	0	17	3	20
D_3__Candidatus_Magasanikbacteria_D_4__uncultured_deep-sea_bacterium$7a5f4b0a5d117848d0181c09c432d753	41	6	20	32	0	0	0	5	3	0	0	0	0	0	7	35
D_3__Rhizobiales_D_4__Devosiaceae$7e61bd0847d5f4e1f02190ebae541796	0	0	0	0	0	0	0	4	38	0	133	3	19	0	5	0
D_3__Rhizobiales_D_4__Devosiaceae$74113243bbd6ef559d0ab44a33b91a0b	20	12	4	0	35	13	147	96	31	20	21	85	16	26	0	0
D_3__Rhizobiales_D_4__Methyloligellaceae$d1e88c807a7fdcac79e391b1e6fb4b87	0	0	12	4	0	0	74	0	0	0	8	18	3	84	22	0
D_3__Rhodospirillales_D_4__Rhodospirillaceae$24dfb06e8f8bbad67a444c41853e30ab	44	34	7	57	6	0	0	14	0	4	0	6	0	4	5	87
D_3__Cytophagales_D_4__Microscillaceae$a1117ef9d316d8dba9c6a963bdbc86e2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
D_3__Oceanospirillales_D_4__Halomonadaceae$cce2b63709c24faf1cc0be87e19865fe	0	0	0	0	0	172	0	13	0	0	0	10	0	0	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$fbbc274e327d5546c0a41319f75c345a	0	7	0	54	0	70	0	20	0	15	0	0	0	4	0	15
D_3__Flavobacteriales_D_4__Flavobacteriaceae$ec80644bcff9a4f2dcd89b88ab471d78	0	0	0	0	58	62	77	22	30	0	35	49	4	0	0	0
D_3__SAR11_clade_D_4__Clade_III$eb1a49fb4f25423ce2b09f1bbb957715	49	17	5	0	28	35	39	22	25	7	3	10	28	0	7	37
D_3__Chitinophagales_D_4__Chitinophagaceae$7671ca061fb02d503105a8ba4d42c33a	6	0	0	0	0	0	0	0	2	0	11	2	0	3	0	0
D_3__Betaproteobacteriales_D_4__Nitrosomonadaceae$8c0df67e6c33b7b333fa02c82f99092f	44	29	28	37	0	6	0	0	0	0	0	0	0	0	7	27
D_3__Myxococcales_D_4__Nannocystaceae$67c29b080e1256d9b127a8208fdbfadc	0	7	9	4	35	5	26	8	27	2	21	8	27	7	17	14
D_3__Desulfovibrionales_D_4__Desulfovibrionaceae$f9cddd61acfae9e217013714a6338f8d	0	0	0	0	0	0	157	3	59	0	6	0	3	0	0	3
D_3__Oceanospirillales$dc65b8e352202750d36829760d764562	0	0	0	4	0	7	50	0	0	9	0	25	0	6	168	0
D_3__Nostocales_D_4__Nostocaceae$2b26ee3c06f7d8b25d5ab1cabdf3a4b6	89	34	5	5	5	6	0	7	0	0	0	0	0	3	0	10
D_3__Rickettsiales_D_4__Rickettsiaceae$5442bb5e56eb51870fab71014d342c37	27	15	70	14	4	23	0	49	0	12	7	22	6	42	104	0
D_3__Clostridiales_D_4__Family_XII$a47c811a8ccf1621949e8141b282e199	0	0	0	0	6	8	283	7	104	0	13	0	23	0	0	3
D_3__Rhizobiales_D_4__Rhizobiaceae$76b8ca4e48d0df5176b3c2efceadf54c	0	0	4	2	0	29	104	0	5	0	7	13	4	0	0	0
D_3__Candidatus_Uhrbacteria_D_4__Candidatus_Uhrbacteria_bacterium_GW2011_GWF2_46_218$a660084f84a5ae7c4de62183c2dab35c	0	0	0	0	27	0	80	5	24	0	0	0	19	0	0	0
D_3__Caulobacterales_D_4__Parvularculaceae$ee05c554efea2ad92e8b0aca916118f7	0	0	9	4	0	3	121	0	0	0	0	14	0	13	0	0
D_3__Salinisphaerales_D_4__Solimonadaceae$0e65ac36d1a8b9915f2b259d082d3221	0	0	0	0	0	0	0	0	0	0	0	0	104	50	0	0
D_3__Clostridiales_D_4__Lachnospiraceae$fd64f8ecefe1e1a85a20493bafb39a9e	0	0	0	0	0	4	186	0	102	3	12	6	6	0	0	9
D_3__Corynebacteriales_D_4__Nocardiaceae$ff2c51a69bbd166e2d89d4d337d48c71	0	0	0	0	0	12	0	91	0	11	28	20	6	12	0	0
D_3__WCHB1-41_D_4__uncultured_organism$10ab007e9c34a6a7b766328ad18a0061	0	0	14	0	0	0	7	6	0	0	0	14	0	12	0	20
D_3__Betaproteobacteriales_D_4__Gallionellaceae$2b120f58f06247952e555a9c0a2b7ed7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
D_3__Erysipelotrichales_D_4__Erysipelotrichaceae$b5bfbb68720e7884d85d54a1ccf57d1a	0	15	0	18	0	12	124	13	21	0	3	0	0	0	0	12
D_3__MBAE14_D_4__uncultured_bacterium$61b7585be381be48d0b9a0aea1c97d67	2	0	0	10	16	78	109	4	92	0	22	0	20	0	0	0
D_3__Cellvibrionales_D_4__Spongiibacteraceae$cc2271fe259ca9cc8311597932c53698	0	0	0	0	0	0	61	36	0	0	0	0	0	8	47	2
D_3__Rhodobacterales_D_4__Rhodobacteraceae$8790fa0212f99a8a9e63686e73e16b58	0	0	0	0	0	0	0	7	0	0	0	25	0	49	4	7
D_3__Hydrogenedentiales_D_4__Hydrogenedensaceae$23b4dfe793439afb0edd1ad60071524c	13	33	20	0	2	0	0	24	0	2	0	0	0	5	0	35
D_3__Cellvibrionales_D_4__Porticoccaceae$a541ab091dbb36074b892997a861ba04	52	17	8	108	21	19	0	0	0	0	0	0	0	0	4	59
D_3__Rhodobacterales_D_4__Rhodobacteraceae$c58bc23a073f823b2004583d4d22adb7	0	0	0	0	18	33	113	14	74	0	0	26	15	28	7	0
D_3__Aeromonadales_D_4__Aeromonadaceae$264d387621616050fa4d7e76a9793fd3	0	0	0	9	0	14	0	7	0	0	0	0	0	0	0	15
D_3__Rhizobiales_D_4__Beijerinckiaceae$9f8427f6c26671de78b1b5c2c2aa34fa	0	0	0	7	0	36	0	87	0	0	0	5	15	0	0	0
D_3__Xanthomonadales_D_4__Rhodanobacteraceae$b153177ef71108157d6c4607ea6e31ff	0	0	0	0	0	0	6	0	0	0	10	21	12	81	0	0
D_3__Rhodovibrionales_D_4__Kiloniellaceae$6549c666195b5c82816c4b85f66ad08d	0	0	3	0	0	0	137	5	0	0	0	26	0	10	0	5
D_3__Caulobacterales_D_4__Hyphomonadaceae$b2e70d0b0bc9f3f423f453ae1978b929	0	0	8	0	26	0	30	0	74	0	7	6	7	0	0	0
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$32c8de0c85275d1f39e7f8cd5132ef8f	40	38	0	39	0	35	0	20	0	8	0	10	28	0	0	20
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$4157b2ccfe9222071d51991e0541bf33	0	0	4	0	16	25	21	33	16	0	16	9	6	0	0	24
D_3__Pseudomonadales_D_4__Moraxellaceae$4845032472259b5944d6a99e43301e07	0	0	0	0	3	0	24	20	23	5	19	28	13	18	5	0
D_3__Cytophagales_D_4__Cyclobacteriaceae$5c4e059c54ed38e62762c84bbe55f16a	0	0	0	0	5	104	0	13	0	0	14	0	0	0	0	0
D_3__Thiohalorhabdales_D_4__Thiohalorhabdaceae$e6af3952c5dd9e53fdabe0a3c774ab10	35	26	7	3	0	0	0	22	0	0	0	23	7	25	0	28
D_3__Micrococcales_D_4__Microbacteriaceae$4b773d519e5cb35021950e0bc06b5c0f	0	2	0	0	0	11	44	35	12	0	0	55	42	0	0	3
D_3__Rhizobiales_D_4__Rhizobiaceae$7ad078114240b7f8126e671b2fcb039e	0	0	0	7	52	48	65	19	0	0	0	0	0	0	0	0
D_3__Rickettsiales_D_4__S25-593$c86788d611f83d6d42ec0fa8b6ffc546	0	35	57	89	16	62	9	67	3	21	0	66	0	51	6	12
D_3__Flavobacteriales_D_4__Cryomorphaceae$f6bc1d554f47608e538a6c0339314a77	0	0	0	0	0	4	0	12	0	0	0	35	0	59	0	3
D_3__Cytophagales_D_4__Spirosomaceae$873ff5dfcf2c6ea90f57930e381ea7ee	0	0	0	0	3	0	0	0	0	0	16	28	50	14	0	0
D_3__Chitinophagales_D_4__Saprospiraceae$e58a1d81c0536fa69ad18c18b0f38b20	0	0	0	0	0	0	0	0	55	0	8	0	55	0	0	0
D_3__Desulfarculales_D_4__Desulfarculaceae$1389446aab0cf030039805d939ae3117	0	12	0	6	0	0	0	24	0	0	0	38	0	28	0	6
D_3__Oligoflexales_D_4__Oligoflexaceae$5896d9265a653cbfa4339d82e477dd21	19	21	3	31	0	14	0	24	0	22	0	16	0	25	47	19
D_3__Vibrionales_D_4__Vibrionaceae$ffcc8402714f07faa813369ecdc4901c	0	8	0	12	0	57	0	11	0	0	0	8	0	0	0	11
D_3__Ectothiorhodospirales_D_4__Ectothiorhodospiraceae$02ebad14718c95fd85df8f36f6562a3a	25	10	10	0	9	4	0	0	8	11	0	0	0	44	0	17
D_3__Rhodobacterales_D_4__Rhodobacteraceae$fadafef61a837080e2a98393c3d7538e	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
D_3__Alteromonadales_D_4__Shewanellaceae$94d6dd1c124bd3730bb18ede3bd5416a	0	0	71	0	0	0	0	23	0	0	0	0	0	0	0	0
D_3__Candidatus_Komeilibacteria_D_4__uncultured_bacterium$97e8a962a39f3a22ef8bf47a573f12cd	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4
D_3__Ga0077536_Ambiguous_taxa$811c0d29bd77bf1bee3c443542c71d8d	27	16	0	7	0	9	0	71	0	0	0	3	0	7	0	8
D_3__Candidatus_Kerfeldbacteria_D_4__uncultured_bacterium$f383703aaeba8756dd51f06fd410d91f	14	7	0	3	0	0	0	41	0	0	0	0	0	0	0	0
D_3__Micrococcales_D_4__Intrasporangiaceae$8a17bed447c0447942624e3a50b11bd5	0	0	0	0	0	0	0	0	0	0	40	18	27	6	0	0
D_3__Parvibaculales_D_4__Parvibaculaceae$9b53019d5abfc6fc7e29383a119a2327	0	0	0	0	0	0	53	0	0	0	0	6	0	32	0	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$cbd93a5142c51e2a6c4eb67330b0f01e	0	4	0	0	9	0	23	8	5	0	10	0	29	0	0	0
D_3__Desulfobacterales_D_4__Desulfobulbaceae$14e1435a9e0b45b4f2f87bff777bba93	0	9	0	28	0	16	0	12	8	29	4	28	0	27	0	12
D_3__Rhodobacterales_D_4__Rhodobacteraceae$c9e0fa14d1f40f58395fe40f373814e8	22	28	0	0	0	0	0	0	0	0	0	0	0	0	0	16
D_3__Myxococcales_D_4__P3OB-42$b20415baac75c8a79ff73b0401ae3f43	18	10	0	3	0	4	0	39	0	6	0	23	0	18	3	61
D_3__Corynebacteriales_D_4__Dietziaceae$45d5ddb790d3d27c1767e9d708e58d4c	0	0	0	0	0	13	10	52	11	0	12	0	0	0	0	0
D_3__Oceanospirillales_D_4__Alcanivoracaceae$eaece296f7ad426873cd919a81a9ab50	0	0	0	0	5	215	41	0	24	0	7	10	0	3	0	5
D_3__Xanthomonadales_D_4__Xanthomonadaceae$1f23625628d9fd6848e86c26fb8e00d2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
D_3__Oceanospirillales_D_4__Saccharospirillaceae$c4bafd8d27a3199f4edef747c04aa965	0	0	8	0	30	52	0	0	0	0	0	0	0	0	0	0
D_3__Rhizobiales_D_4__Hyphomicrobiaceae$fb7102b075c7505ee3863ac2151a447b	0	0	0	0	0	0	0	14	0	0	2	2	55	0	0	0
D_3__Rhizobiales$5726d19878eb99aebf436636b2649545	0	0	3	4	0	7	50	2	4	0	0	15	0	7	0	0
