#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
aa362e133f4a3742c7c0b51823dcefff	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellophyceae_X	Mamiellales	Mamiellales_X	Mamiellaceae		
c8beb29f8c766765fc1a8ce124f642af	Eukaryota	Archaeplastida	Chlorophyta	Chlorodendrophyceae	Chlorodendrophyceae_X	Chlorodendrales	Chlorodendrales_X	Chlorodendraceae		
a1cc6dd666afc98d00326d35f43bae73	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae					
d16938cc809b9186b4b6d32892c4eddd	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
2befbeef9466383c925542f8150749b5	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlorophyceae_X					
a1a363ebfa5e222880fbbc2877328c93	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X			
2fc32256e74d5cc16fd440d96a3733d9	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales				
5207151388e3c1cb2fe7d75d59f26e79	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
9b913f388f72540499d96686bf75218f	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenophyceae	Eutreptiales	Eutreptiales_X	Eutreptiaceae	Eutreptiella	Eutreptiella
4912ee68947e8529e2eac96d81f4e26a	Unassigned									
35c96737e44f9a025c844504c09521e6	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
315d2dab44d975c2d7adef16cd6226f8	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochophyceae_XX	Dictyochophyceae_XXX	Dictyochophyceae_XXXX	Dictyochophyceae_XXXXX	Dictyochophyceae_XXXXX
