#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.DW2	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D3.control1	KOSMOS.D3.control2	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.DW1	KOSMOS.D8.DW2	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
9b913f388f72540499d96686bf75218f	0	7	6	0	143	0	499	0	0	0	37	0	19	0	17	0	0	0	0	0	31
4912ee68947e8529e2eac96d81f4e26a	125	204	0	3	27	0	40	0	0	0	187	0	0	0	4	0	0	0	0	149	8
35c96737e44f9a025c844504c09521e6	84	36	0	54	0	35	64	0	0	0	322	0	0	0	40	0	31	0	0	14	0
315d2dab44d975c2d7adef16cd6226f8	0	0	0	479	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	88	0
bda174380b89c8dafb8a61126ad57210	0	0	0	0	10	0	0	0	0	0	10	0	7	0	185	0	387	0	0	0	10
8b1ca5c7eda7f9278a28edd834c461be	59	110	0	70	0	0	3	0	0	0	42	0	11	0	214	0	72	0	0	0	10
35c7ac712d7bfb9eded614644fdd5eab	112	9	0	18	11	0	371	0	0	0	0	0	0	0	0	0	0	0	0	27	16
7ef9ef0f1d7fc89f3fa1d17d92b4e6d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	505	0	0	0	0
4b45e0fc6276ae0245aea2cf6c2de70e	54	33	0	50	0	164	44	0	0	66	41	21	0	0	8	0	0	0	0	22	0
21379a9416c7659533efc5735cde259e	0	0	0	444	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
20d8843bf7213e7bf6592cdb191a9e96	11	25	0	111	0	70	51	0	0	16	165	0	0	0	24	0	0	0	0	0	0
6d4b1a66b11c7dca0cc75dbfcb3e3043	0	0	0	0	0	0	0	0	0	89	0	113	0	218	0	46	0	0	0	0	0
e6794d71335fe9c08483e2d87506ab80	8	15	0	0	0	0	10	0	0	0	24	0	18	0	40	0	321	0	0	0	11
9ca3ba7165b71dfa75647c347b1aa034	0	0	0	0	0	0	0	0	0	0	20	0	17	0	111	0	257	0	0	0	0
92c99a76c83d47c4ed1259c807985355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0
ab985cf0ad0420c1a343fbc97ce8f698	91	44	0	3	0	0	27	136	0	0	31	13	0	6	24	0	0	0	0	16	0
b3e163b6fe9838157f405611dc3e693f	80	53	0	0	0	176	19	0	0	0	32	0	0	0	13	0	0	0	0	7	0
20d526a736412cffe5fdea0f89b3fbcb	11	0	0	28	11	201	30	0	0	0	0	5	0	26	5	47	0	0	0	0	13
1f97c47d5e820df62d738ab6e2bc2790	0	0	18	0	10	0	12	0	0	0	128	0	28	0	52	0	93	14	0	0	14
42624d4c60b33699c28a95ca27129319	57	181	13	0	11	0	17	0	0	0	2	0	19	0	34	0	0	0	0	0	33
5ea3446ef0c2b0746d9845a861d8487d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	277	0	0	17	6
b312a1d9d769c6da59c68893ee7c4582	0	0	0	0	0	76	0	0	0	160	33	21	0	0	0	51	0	0	0	0	0
a907c242383e2c256496dd4a09417c6e	38	29	0	0	0	243	6	0	0	0	23	0	0	0	0	0	0	0	0	0	0
2cf85d07a8ecd3fb2b87a9f36708260b	0	22	0	8	14	0	0	0	24	0	58	0	6	0	56	0	65	0	0	86	0
f19d778b495d614ed62c00879047c35c	10	40	0	0	57	0	40	0	0	0	79	0	13	0	25	0	20	0	0	0	29
e6c77b73bb9e88d9d505d71f517486dc	0	0	0	0	0	0	8	0	0	0	159	0	8	0	40	0	38	0	0	0	0
9af2e51388a124d362e7cb1c9f80082b	0	0	0	0	0	0	0	0	0	0	34	0	128	0	72	0	19	0	0	0	0
c02dd57b6285f6a863ea557a201db5e9	0	0	0	0	11	0	0	0	0	0	38	0	8	0	72	0	108	0	0	14	0
5036f4c911763f0a3711cce0097a9f6d	0	0	0	0	0	109	0	0	0	82	0	11	0	6	0	22	0	0	0	0	0
044bad6668bf3ca9bd869761852eb7b6	34	46	0	0	55	0	18	41	0	0	0	0	0	0	0	0	0	0	0	0	30
81b4121f59c48cb7a4783b721f01920e	0	0	0	0	0	0	0	0	0	0	52	0	0	0	39	0	131	0	0	0	0
65cb02d6dfe193018ea4604eb380eaff	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	37	0	158	0	0
c979da06b859784bf58df00a55ccc8fb	17	24	0	114	17	0	4	0	0	0	3	0	0	0	3	0	19	0	0	4	0
d08f3079333cda5f7be0af6fb4451f92	0	0	0	0	0	0	0	0	0	41	0	85	0	0	0	73	0	0	0	0	0
a8d86f936536d5e55ecaec83a1c465f8	28	44	0	0	0	0	39	0	0	0	35	0	0	0	29	0	0	0	0	0	11
e91fabdf7e0a93eb957c2c4e9e764ae2	0	12	0	0	21	0	77	0	0	0	71	0	0	0	0	0	0	0	0	0	0
1d9216ecc0bd433058261a3b94839d99	0	0	18	0	0	0	0	33	5	0	0	0	0	0	11	0	114	0	0	0	0
626598fdced1dec808791323f07ae623	0	0	0	5	0	18	0	0	0	117	0	33	0	0	0	0	0	0	0	0	0
bd18627a36c643dd24bf4746d4663950	0	21	0	0	0	0	0	0	0	0	93	0	0	0	0	0	55	0	0	0	0
0be99c4aa56268b2f564803d6335f2df	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a3f88251bcc1a9bdc2fa657ec14a6c5	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a2d4d91180c2d5c66cf5be3a84162b45	0	0	0	0	10	0	0	0	0	0	99	0	0	0	31	0	15	0	0	0	0
902b23c26b7ad907add59feda1a30428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0
c42250e8e0c5454779ea2b7a43dc264c	14	0	0	0	0	0	0	0	0	0	34	0	14	0	89	0	0	0	0	0	0
61a30a195aa50828309cd6a42dd81d6e	0	0	0	141	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
fc0ed94150c602830bbfbe75c48df3e1	0	0	0	0	0	0	0	0	0	25	0	33	0	35	0	52	0	0	0	0	0
a853f2fca21cb13aacf2cabddf8424dc	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0
2d3a26b959c51d33494ae3006c1890bd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0
6b82949db47d8b448fa5a82d1ac79936	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0
fb0e7d7d6eb417d326f5a4f47e284465	0	17	0	0	39	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	20
606fd5f3c90d426dbb74c454442ddd4e	39	47	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	9	0
b16c047ba04a60bde71f537a09c62d3c	0	0	0	0	6	0	0	0	0	0	18	0	0	0	98	0	4	0	0	0	4
64eb8580f35a7ef73a87fa5a1a0aa95d	75	27	0	0	2	0	3	0	0	0	20	0	0	0	0	0	0	0	0	0	0
6b4775f85836dc47570daebcbd3429b2	16	40	0	0	0	0	5	0	0	0	0	0	0	0	11	0	0	0	0	47	4
b04ef0693c0df2f89d494b30814a9d58	0	0	0	27	0	0	0	0	0	39	0	56	0	0	0	0	0	0	0	0	0
732c5a5744d4481a5a19b2663cefc6ae	5	8	0	0	0	0	0	0	0	0	98	0	0	0	0	0	5	0	0	0	0
baa5448d80db84deef60639a48f2945a	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0
e55a78a1c8062a8044c653d07dbd915a	29	31	0	0	8	0	0	0	10	0	10	0	0	0	25	0	0	0	0	0	0
e514e47bcd137145382ab4709d16b7a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	33	0	0	0	0
fa633eb2208ad0b9211b90e1da630ec7	2	0	43	0	3	0	42	0	0	0	5	0	0	0	0	0	0	0	0	0	10
71ea19803975a0b9664a35da3cba63e5	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
3e50e77a8bb07cac6bf4c6623f5d185e	0	0	0	0	0	0	0	0	0	0	6	0	17	0	43	0	34	0	0	0	0
5e23e4e1f8a41d2d7d0d6439cde2a766	18	13	0	20	0	0	39	0	0	0	0	0	0	0	0	0	0	4	0	0	3
40450b44940c08498a7bf2d3ff47a849	19	27	0	0	0	0	40	0	0	0	0	0	8	0	0	0	0	0	0	0	0
0e2aa104e4ada9abaa8094203d4c9e9c	0	8	0	12	0	14	0	0	0	6	8	9	0	18	0	19	0	0	0	0	0
bdc617824c81aad4c3e31b549d222b80	27	6	0	24	0	0	14	0	0	0	0	0	0	0	0	17	0	0	0	0	0
b3e3bf49951fd57fef9a0712bdcedb5a	0	0	0	65	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	9
593ea2891454d8d63d6214f225a45e19	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0
2cb58e389011372307a5affb4eb87e3b	13	0	0	9	0	26	6	0	0	0	10	0	0	21	0	0	0	0	0	0	0
8727190c50d0303c63de28feafd1ab3e	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0
fe54a6b3853a4ba111acf8886bee63ae	29	18	0	0	6	0	0	0	9	0	0	0	0	0	8	0	13	0	0	0	0
fa77c54aa003bb04df29a4985077ee61	0	3	0	10	4	5	18	0	0	0	19	0	0	0	9	0	15	0	0	0	0
178f2b30b80c8008b3f17bfc73d0810f	8	0	0	0	0	0	11	0	0	0	63	0	0	0	0	0	0	0	0	0	0
e2add5bcfbcab9db07e26877cec76df3	0	0	0	0	0	0	0	0	0	46	0	0	0	35	0	0	0	0	0	0	0
7f729fcd2d6ba69b0b89986b1b5f6ecd	0	0	0	0	0	10	0	0	0	25	0	32	0	0	0	13	0	0	0	0	0
6aefa26af43d40a8162db6f7695c1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	72	0	0	0	0
219828c904ec5c4c164cb82f0183769d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	29	0	0	6	0
3d2a21690df214f790747c23c7f50a13	16	33	0	0	0	0	11	0	0	0	15	0	0	0	0	0	0	0	0	0	0
97e8b13f22527b063865cbdf15a7fa59	14	16	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0
3e3643b6e0f842f3f69a596a42bd32c2	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0
a42714b7e8cebb72a7e41fe898b459cb	0	0	0	0	0	0	0	0	0	29	0	26	0	12	0	7	0	0	0	0	0
b4ec7581fa901b664e01f6675f340ba2	19	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bc1819f4c88904f014d0865c0a09c8ec	0	0	0	0	0	0	0	0	0	59	0	0	0	0	13	0	0	0	0	0	0
af5fe6cf3758537a4a88e804eed97cbf	0	0	0	0	0	0	0	0	0	0	11	0	0	0	44	0	16	0	0	0	0
