asv,KOSMOS-D1-M1BS,KOSMOS-D1-MPBS,KOSMOS-D15-DW2,KOSMOS-D15-M1AS,KOSMOS-D15-MPAS,KOSMOS-D24-M1A,KOSMOS-D24-MPAS,KOSMOS-D3-control1,KOSMOS-D3-control2,KOSMOS-D32-M1AS,KOSMOS-D32-MPAS,KOSMOS-D36-M1AS,KOSMOS-D36-MPAS,KOSMOS-D42-M1AS,KOSMOS-D42-MPAS,KOSMOS-D48-M1AS,KOSMOS-D48-MPAS,KOSMOS-D8-DW1,KOSMOS-D8-DW2,KOSMOS-D8-M1AS,KOSMOS-D8-MPAS,taxonomy
885e5f9ae373e946160d92466ca24188,156,130,1201,1167,346,208,105,348,37,429,773,205,317,93,551,0,2482,14554,5061,133,2008,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Nitrincolaceae;D_5__uncultured;D_6__uncultured bacterium
7fff6b3a67d20e501ccff8ba9a269946,478,346,448,752,1322,2145,439,253,0,1481,420,3459,258,7167,1300,3589,2265,705,196,1213,679,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae
9245da7a0f446203c5b5363e314d0d02,147,132,340,414,613,82,128,0,0,322,878,398,602,88,983,0,1953,9663,10075,0,1766,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05 cluster
c3ad2324abd9f9a4c0403b02881395e7,204,90,1088,17726,390,2759,275,0,5,235,133,281,301,1869,98,1726,254,71,27,178,183,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella
5168d3ca3cdb2c76502eff543330a31e,0,0,0,0,0,479,0,0,0,2580,3890,4101,1527,803,5608,1525,2858,0,0,0,0,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
61d632b7115a98cfd166db9c01341549,8468,6878,13,199,2020,7,840,81,59,0,522,0,893,0,367,0,470,210,10,82,1616,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Synechococcus CC9902
bb18a3e168fb2b3a4ec7809da2b1182b,0,0,22095,25,0,0,383,4,0,35,17,8,0,12,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Mesoflavibacter;Ambiguous_taxa
c1ab5fd953e6bedf3c8e661503f0af50,660,574,411,1328,2009,3988,758,560,49,1810,1582,1067,635,539,1134,59,1969,1519,282,255,1304,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured
046135bc034a530dcdbae48a692644f2,5,13,5903,551,111,296,107,0,0,2603,77,1415,22,1896,49,289,49,865,8101,96,15,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
fe83957ee5a791f3e51c5c1eb645b321,195,229,695,366,323,444,591,0,0,4343,296,987,72,9873,445,1667,180,35,64,1247,74,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Lentibacter
f2a439ca0445443ee2ce5234c4bac662,1688,1605,1421,1032,2994,1499,937,582,0,525,645,108,725,31,648,109,767,1950,47,122,2478,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Actinomarinales;D_4__Actinomarinaceae;D_5__Candidatus Actinomarina;D_6__uncultured marine bacterium
7a3f6fa65c67106e022004f060c8249a,0,0,0,0,0,0,0,18739,9,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Aquabacterium
e0a30eb37551974410bef88d4a1719fd,2049,1715,167,124,1545,334,1059,0,4,796,538,767,1271,1018,650,4314,840,151,29,257,1032,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS5 marine group
8a2c5d64bae17284ddd2c3ef8017ab10,2731,1462,132,378,2829,192,1661,0,0,0,1602,50,902,21,1109,4,2543,218,29,330,2223,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade;D_4__uncultured marine bacterium;D_5__uncultured marine bacterium;D_6__uncultured marine bacterium
fe5f4c41ca2a48060b0868c63f4da1f9,776,382,0,659,880,3224,682,0,0,1194,980,4608,1053,1610,194,723,158,30,0,309,437,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group;D_6__uncultured marine bacterium
a19af3f1666d108af03e5f7399a59c39,0,0,0,0,0,0,0,0,0,720,46,4194,40,11016,39,1353,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella;D_6__uncultured bacterium
ec69e4a2fa57ecb7e50cf2e897b37a8e,0,0,0,5,0,4934,14,0,0,4113,33,3194,9,1514,3,3492,0,0,0,0,0,Unassigned
ea893c36ce0d2ea74f5d7f174f4b85ea,0,0,0,0,0,22,0,0,0,749,35,3967,42,10519,0,1183,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella;D_6__uncultured bacterium
8b805e8ab0bd4a07c5f700905e151f28,0,0,0,4,0,7,0,0,0,196,0,14749,0,934,0,8,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Formosa;Ambiguous_taxa
83b71a0936aaf776a3979b868595a01d,0,0,0,8,0,0,0,11875,3091,0,29,0,2,7,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Undibacterium;D_6__uncultured bacterium
064551f616721d5fca7976a44460fc14,66,57,2393,1141,40,186,30,18,0,617,36,262,10,39,20,51,25,3696,5816,20,93,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
73af9ec78d02cdddfa21e84f39f894f8,0,3,18,223,174,784,412,930,3,686,299,592,51,142,370,48,51,17,23,9628,73,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__Glaciecola
e142e2be14bff9b37f01d183acf8ff62,516,407,156,1092,716,469,699,0,47,274,763,843,738,1665,1057,2648,536,107,0,1239,511,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Planktomarina;D_6__uncultured marine bacterium
5fddd1f6585d9c9f1de4b49ed04d6bd8,0,0,155,19,39,0,47,0,6,0,86,0,4,0,14,0,7,1238,12845,0,2,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Saccharospirillaceae;D_5__uncultured
c85e8846f15debfb13303e3600cd40d4,0,0,0,0,0,6503,10,0,0,7489,78,189,11,13,0,126,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Spongiibacteraceae
5dc2bb3754e1c66b863e3c3586686153,1923,1173,0,708,441,6220,155,19,114,210,587,29,1233,0,271,153,273,40,22,47,401,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Roseibacillus
0a9911c91f618669941dd13da50f36e4,12,15,138,39,22,0,2,0,0,40,83,26,55,0,18,0,118,2359,10730,0,275,D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade)
5380ec19d3b58762d6387c401fd8de1b,386,151,0,5592,59,1935,113,0,0,2431,1148,1218,328,63,111,19,32,42,5,100,101,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__Coraliomargarita
bbb08c40fc9724ebcb5f877dc9c9c61d,872,595,1226,636,950,65,451,3026,231,141,443,58,222,16,745,0,1098,597,162,721,1099,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Aquibacter;D_6__uncultured bacterium
06776824064cb2822160cc0888df51fd,163,108,0,2279,211,3133,331,0,0,926,261,855,250,2072,248,359,433,0,0,1570,108,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group;Ambiguous_taxa;Ambiguous_taxa
a3fe1a9d2afa1cf084a014bfbb7f6bf8,652,380,156,1500,547,1697,513,0,0,656,826,549,431,526,502,971,815,1152,384,206,633,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__OM43 clade
e43807d268d7bb99de566c4685140b0b,876,498,1081,120,326,414,3402,0,0,254,907,232,540,0,1841,401,589,152,28,127,1186,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured;D_6__uncultured bacterium
0c9a8dc81a591a5942872618d800b2b0,1618,945,200,351,1259,523,1089,0,0,183,1345,0,643,0,631,0,837,1324,0,150,1646,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia
fd50ede414fb9b412eb81ec48c94f574,858,695,15,103,1110,960,690,0,0,221,1644,70,1324,23,2377,0,1515,150,30,134,791,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group
6ed2a22340c1dc9ed2ce8e39f1cedbb3,0,0,16,138,105,30,49,11752,28,73,238,22,33,20,76,54,31,0,0,0,15,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Methylobacterium;D_6__uncultured bacterium
7fd6e44270b4a36d3e28b37bc563dd7a,194,488,2874,144,219,0,311,0,0,421,187,377,66,498,188,5958,190,84,57,34,305,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
d0ebcef50cedc50097956484ba3b9fb6,263,361,278,405,976,328,394,0,0,52,643,0,225,0,1190,0,2634,2649,36,141,1991,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05 cluster
