asv,KOSMOS-D1-M1BS,KOSMOS-D1-MPBS,KOSMOS-D15-DW2,KOSMOS-D15-M1AS,KOSMOS-D15-MPAS,KOSMOS-D24-M1A,KOSMOS-D24-MPAS,KOSMOS-D3-control1,KOSMOS-D3-control2,KOSMOS-D32-M1AS,KOSMOS-D32-MPAS,KOSMOS-D36-M1AS,KOSMOS-D36-MPAS,KOSMOS-D42-M1AS,KOSMOS-D42-MPAS,KOSMOS-D48-M1AS,KOSMOS-D48-MPAS,KOSMOS-D8-DW1,KOSMOS-D8-DW2,KOSMOS-D8-M1AS,KOSMOS-D8-MPAS,taxonomy
2198a8ea000bfd9a2926f1339d7db108,0,0,0,7,7,0,7,0,0,0,31,0,10,0,39,0,144,3,0,0,31,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured;Ambiguous_taxa
e171f38da68d63c83fc5481349d9a7cf,143,120,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,3,0,0,Unassigned
70328d0af1617f424074d0004d836006,30,22,0,16,20,0,37,0,0,0,68,0,19,0,38,0,28,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I
c21ecfac2f9d06f45d33865444a41330,21,38,0,5,59,0,83,0,0,0,6,0,10,0,4,0,0,4,0,0,48,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Coxiellales;D_4__Coxiellaceae;D_5__Coxiella
ef6f38e83a282e8d08cfd52c9c4e2a3a,0,0,0,8,0,0,130,0,0,7,46,7,0,56,24,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Halomonadaceae;D_5__Cobetia
5e84999d7b518a8fc3614c04640d48ce,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Magnetospirillaceae;D_5__Magnetospirillum;Ambiguous_taxa
119efa5ced1f0887105f6d89c0ed5d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Saccharospirillaceae;D_5__uncultured
fc24891aa528596f948532fde0719211,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__Coraliomargarita
9520364b24f78b04a359361f7096ed38,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,22,159,31,0,56,Unassigned
3791e8482c1dab417156725d9fd1c30b,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,147,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Oleiphilaceae;D_5__Oleiphilus;Ambiguous_taxa
83f50a602685efa503ab3d4733268e64,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio
9b3aa9742acaca11c7028e898cfd923b,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
309b659c06d45c10985dc080c05a12f8,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,Unassigned
52fb58b29fb62304d9cbec251b002be5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,Unassigned
351c8e357920f83d0a2816777ec2e89d,12,15,0,0,63,0,20,0,0,0,0,0,42,0,33,0,0,0,0,50,37,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured
25ad0c4c93652b7bf7a20adc2b8a21cc,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__uncultured
9764ebf2d5698ddd2d60c08d1b04f931,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
d1f656cf9d2ac199ab7c3ac466ffd597,0,0,0,0,0,0,0,0,0,0,126,0,21,0,66,0,59,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__SAR86 clade
6c7b37055a2f5151c3e7a825ecc9f314,4,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,167,0,2,76,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__OM182 clade;D_4__uncultured gamma proteobacterium;D_5__uncultured gamma proteobacterium;D_6__uncultured gamma proteobacterium
beb49d35c4fc0b563972ae20f4fa77db,0,0,0,14,0,0,229,0,0,0,21,0,0,0,7,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter
1101275ba4018300458000a197861e65,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Gallionellaceae;D_5__Gallionella
4a7fd8294207fcb6e8854e24fb64c07b,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Brevundimonas
ee615a970eea562275d50b72f53811e3,0,0,0,0,0,90,0,0,0,69,0,56,0,0,0,55,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola;D_6__uncultured bacterium
260e29e353b6bed16bac0685e5a6b4c4,0,0,0,0,0,6,0,0,200,12,9,10,8,4,15,0,6,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingopyxis;Ambiguous_taxa
41980316a7c7e3e8963b2526e9d46b03,0,0,0,0,0,3,84,0,0,34,62,9,12,16,35,10,5,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiaceae
59975ee5f4768ef697270bf42992e936,67,29,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,9,0,0,155,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter
741dc2db673bfcdfad6d0db99823cf6c,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio
23dd173b346c4eac8f98a7c9c3da87dc,0,0,0,0,0,0,0,180,89,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Burkholderia-Caballeronia-Paraburkholderia;D_6__uncultured Burkholderia sp.
2cfae6ee13e1c4811820784ae961a5a2,0,0,0,13,0,30,0,0,0,92,0,16,12,0,98,7,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Methylobacterium
55595e9283aa785afd63b33665c23b32,0,0,0,0,0,0,36,0,0,0,0,0,0,0,112,0,120,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Porticoccaceae;D_5__SAR92 clade
d0e6c416a8750fc4b32d67caf630e945,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria;D_3__JGI 0000069-P22;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
14801a8cadbf0340d321000bcd2fa3a3,0,0,0,103,0,91,7,0,0,25,0,11,0,0,7,0,9,0,0,14,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Ruegeria
2addfe33fe61eb06ccf03f35d83c3894,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas;D_6__uncultured bacterium
a1fd00392427e4c2421cf7bef524b823,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola
fdf6692e47979b919c353476a246b850,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__uncultured;D_5__uncultured bacterium;D_6__uncultured bacterium
cd6927901ab569773b4c1aa7addf400b,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Leptolyngbyales;D_4__Leptolyngbyaceae;D_5__Arthronema SAG 12.89;D_6__Arthronema africanum SAG 12.89
b0c014b8e11bab3d5b74e5aac3466bdb,0,0,0,0,0,0,0,0,0,0,144,0,18,0,52,0,33,7,0,0,12,D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade);D_2__metagenome;D_3__metagenome;D_4__metagenome;D_5__metagenome;D_6__metagenome
7c81ffa1f104ae1e1e52420471756ea3,77,42,0,5,0,0,10,0,0,0,44,0,14,0,8,0,0,0,0,65,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Aureispira
589753e8134dc0c3d4313619fc506a29,0,0,0,19,8,6,20,183,9,5,0,0,0,0,10,0,0,0,0,5,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingomonas;Ambiguous_taxa
13c9d1bc4ed9a361e5d1c1f25a6aaf91,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae
ad56c51cec12dfd6e5a6a30601795b3d,0,0,0,6,0,0,0,37,0,0,136,0,19,0,16,0,42,8,0,0,0,D_0__Bacteria;D_1__Planctomycetes;D_2__OM190
ac69b4ce45c43340ae48065f6131dd83,0,0,0,0,0,50,0,0,0,158,9,47,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae;D_5__Peredibacter;D_6__uncultured bacterium
bd935aa28e6b3fe7dda50c2d76058378,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__uncultured
9bb4200f0886eb40957cd4bda9e998c0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Nitrincolaceae;D_5__Neptuniibacter
422d290e39e50c1d398c5544b0d8e56c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,83,137,0,33,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae;D_5__Roseibacillus;D_6__uncultured bacterium
1715ac0ba4ee293d938d5c3fd94225b2,0,0,252,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Mesoflavibacter;Ambiguous_taxa
4b24473f7c57078d37140f26053121ba,0,0,0,0,53,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,96,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured;D_5__uncultured Bacteroidetes/Chlorobi group bacterium;D_6__uncultured Bacteroidetes/Chlorobi group bacterium
aaa42bb6a94f3183caee6a2802a3724a,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,130,47,0,74,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group;D_5__uncultured bacterium;D_6__uncultured bacterium
64976ee9f405254c0d8489585f4550a2,0,6,0,0,10,0,0,0,0,0,78,0,19,0,52,0,33,53,0,0,9,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Pseudohongiellaceae;D_5__Pseudohongiella
5d6d9caf4115539f6eba57fbf5000198,0,0,11,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Rickettsiaceae;D_5__uncultured;D_6__uncultured bacterium
d019a9e974c1804f0215bdc22a300c40,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhizobiales Incertae Sedis;D_5__Phreatobacter
98fe6ece6ec25a8932f8c3be23ab41f5,17,0,0,0,0,0,199,0,0,0,0,0,0,0,32,0,5,0,0,0,6,Unassigned
4dbb172d789ee206382029e03996514b,12,9,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,14,5,0,198,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__PB19;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
9df4b7f61cf7c9169dbcd90f7e7f514b,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Parvularculaceae;D_5__Amphiplicatus
6a36f9551c5c89744c486515be85aa01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Saccharospirillaceae;D_5__uncultured
f92445345f21d5be7b3c62e586a161bb,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__MB11C04 marine group
c115d23d2095b2ba78b974a2480d1943,0,0,0,0,37,0,0,0,0,0,50,0,0,0,68,0,69,33,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__AEGEAN-169 marine group
97c42115bd000f779a6174f83449537b,0,0,0,0,12,0,0,0,0,0,75,0,38,0,46,0,43,40,0,3,0,D_0__Bacteria;D_1__Nitrospinae;D_2__Nitrospinia;D_3__Nitrospinales;D_4__Nitrospinaceae;D_5__LS-NOB
a656551980326f6cfb8b7310dfa0b95a,0,0,0,0,0,0,97,0,0,0,69,0,34,0,57,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae
af044f9cfe237387287b3dbbb4255e94,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
5f7fac202b171c2ff4974fb7d9148f15,17,0,0,0,19,0,14,0,0,0,110,0,19,0,24,0,34,0,0,0,18,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Woeseiaceae;D_5__Woeseia
8ad5b00b4d1d3806c5becd842f028692,0,0,93,0,0,0,45,59,0,0,42,0,12,4,0,0,0,0,0,0,0,Unassigned
889d6616f1226705c8ac7ad8797ae402,0,0,0,68,0,29,154,0,0,0,0,0,4,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
3a1170228b4fd2b2130ab038d4e61aca,0,7,0,0,0,146,0,0,0,65,0,24,0,12,0,0,0,0,0,0,0,Unassigned
e2b4459b0baf83d499469d0dce6a4679,0,0,141,9,8,0,0,0,12,0,5,0,0,0,0,0,0,46,0,7,26,D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1;D_3__Candidatus Magasanikbacteria;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
6e6fdfca53cdd313de88a10be47039b0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,2,25,191,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales
434a8f5b05356998e16cb66a6e0bad75,0,13,0,3,11,0,7,0,0,0,98,0,19,0,66,0,20,0,0,0,16,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__BD2-11 terrestrial group;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
3534ff181c6a7fd8d4dc8a2f68b26c98,0,0,0,0,0,25,0,0,0,71,3,38,0,9,0,107,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sneathiellales;D_4__Sneathiellaceae;D_5__Sneathiella;D_6__uncultured bacterium
4a5d8d1a9a6b89b3e23ad1a24d43d836,56,54,0,21,10,0,0,0,10,0,0,0,38,0,0,0,0,0,0,6,57,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__uncultured;D_5__uncultured Bacteroidetes bacterium;D_6__uncultured Bacteroidetes bacterium
8f18a67ea00bf6dd20c93dbcaaf4c4f2,0,0,0,0,0,0,0,249,0,0,0,0,0,0,3,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__uncultured;Ambiguous_taxa
b997b31e1fb5be6484fd42a8d9681e3c,15,17,0,6,13,5,20,0,0,0,30,0,50,0,13,0,31,17,0,0,34,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Nitrosomonadaceae;D_5__IS-44
e91ae6e3ff5ced5a17de7f87ee370bac,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__Rheinheimera
098b0662ad46d527f7707895d6da10db,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Acidithiobacillales;D_4__Acidithiobacillaceae;D_5__KCM-B-112
07577f8a4bf542923ee7e208a46eaa76,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae
759515f018b6ea0851aa18e395a7b541,0,0,13,0,0,0,68,111,58,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Pseudoalteromonadaceae;D_5__Pseudoalteromonas
d7d741812193364ebde7373d52e0a04e,0,0,0,0,14,0,146,0,0,0,90,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter
37244a2e2203796ad0206a7db04f94dd,0,0,0,0,0,18,0,0,0,154,0,78,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Micavibrionales;D_4__uncultured;D_5__uncultured alpha proteobacterium;D_6__uncultured alpha proteobacterium
6952b8e3937f5f0a0593fe75537d07cd,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Halomonadaceae;D_5__Chromohalobacter
358c971405e7fb0c2222f8cbcc01eb1b,97,45,0,0,31,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Formosa;D_6__uncultured marine bacterium
25d77b8ca0896d2af3cb80907d264a64,4,0,7,0,0,4,0,0,49,0,161,0,3,7,0,14,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae;D_5__Sphingopyxis
4fd3ac501ca4b28392832caac164cce0,0,0,0,0,0,0,0,0,0,0,238,0,11,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Polaribacter 3
8cd1f8e3c55a1c2941e27f73290c6a38,41,8,0,0,0,6,60,0,0,0,12,0,0,0,61,0,22,0,0,38,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales;D_4__Cyclobacteriaceae;D_5__uncultured
833247e4a8a44318e1c04c93f76f398b,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,Unassigned
720b1c45e5075f149a50db80b68aa4d0,0,0,0,61,0,0,0,0,0,0,82,0,73,0,32,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__NS4 marine group
c87453c327f2ae7a12be740a1a64a2b7,0,0,0,0,0,0,0,0,0,0,59,0,0,0,85,0,104,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Porticoccaceae;D_5__SAR92 clade
2f6155d75f73d6f026b7181a84d486ff,0,0,0,0,23,0,0,0,0,0,63,0,41,0,48,0,40,0,0,0,32,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia
ded6536cf8856e9ec1c82bb018dab661,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__Bdellovibrio;D_6__uncultured bacterium
be6cb013f7bb30dce5f38fd50950feae,0,0,17,0,8,9,0,0,0,0,37,6,9,6,21,0,52,44,37,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
dd23bdd61ad91f1f69478886cb1cf122,0,0,0,0,0,0,0,0,0,10,7,50,0,27,0,152,0,0,0,0,0,D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae;D_3__Kiritimatiellales;D_4__Kiritimatiellaceae;D_5__R76-B128;D_6__uncultured bacterium
d1843523a56e447c38a95e8686c56c67,0,0,0,0,0,0,0,0,0,0,82,0,37,0,110,0,17,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Aureispira
ff70b46e61a01e95372aa8724758870a,0,79,4,0,0,0,35,0,0,0,69,0,25,0,0,0,0,0,0,0,33,Unassigned
d9ac9603dfd1a7d55a3a3404cfc1e26b,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Mesoflavibacter;Ambiguous_taxa
5b49102b02af3d63fc0395e41ddb2865,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia
2658c28fec2281e0a5866988562aa036,51,30,0,0,42,14,0,0,0,0,0,0,0,0,15,0,0,34,0,0,58,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia
253a2c71297a8a31db3eb9e069c2f097,14,12,0,16,14,0,0,0,0,0,86,0,18,0,78,0,3,0,0,3,0,Unassigned
cd1cb4e07d6d2a02c6f6e85dd0cfb67d,9,0,14,7,0,46,0,0,0,36,6,13,0,0,3,5,4,77,5,0,19,Unassigned
1d789c56110e10dc17a99fb158da5d1a,0,0,199,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio
c3edeb64b58ec13510900edcb33c272c,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae
e1a914386cef81dceeb28f443412e160,0,0,0,0,0,0,0,0,0,0,46,0,108,0,50,0,40,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Arenicellales;D_4__Arenicellaceae;D_5__HTCC5015;D_6__uncultured gamma proteobacterium
459f690f22a2ea2df9b765a78fe7b8f3,57,47,0,12,5,18,9,9,9,0,10,0,0,0,7,0,0,0,0,60,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Pseudofulvibacter;Ambiguous_taxa
69436495c0c40fd1c39674273434e678,0,0,229,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
9e9e67e3d60210ee3590a07a9db25edc,0,0,166,0,0,0,25,0,0,7,0,0,13,0,0,0,0,0,32,0,0,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__uncultured;D_6__uncultured bacterium
346552b6c20b327ab892b7b3cadee36e,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae
